?G(OOH),?G(OOH-Ni),?G(OOH-Co),?G(OOH-Fe),?G(OOH-Pd),?G(OOH-Pt)
3.95971,,,,,
2.03146,,,,,
4.13267,,,,,
4.10939,,,,,
0.23834,,,,,
0.69714,,,,,
0.168,,,,,
0.15002,,,,,
-0.2338,,,,,
0.02338,,,,,
0.06312,,,,,
4.06125,,,,,
0.16279,,,,,
0.5327,,,,,
0.26062,,,,,
0.06705,,,,,
0.2801,,,,,
0.2399,,,,,
3.78212,,,,,
0.17014,,,,,
-0.10891,,,,,
0.91904,,,,,
-0.34683,,,,,
0.31189,,,,,
-0.18931,,,,,
0.24309,,,,,
3.5618,,,,,
0.73881,,,,,
-0.01585,,,,,
0.49109,,,,,
0.06985,,,,,
0.33324,,,,,
1.30631,,,,,
3.844,,,,,
1.04658,,,,,
0.54882,,,,,
0.70001,,,,,
-0.18949,,,,,
-0.20325,,,,,
0.4744,,,,,
0.09179,,,,,
0.39491,,,,,
-0.4462,,,,,
-0.18478,,,,,
-0.13637,,,,,
0.34456,,,,,
0.33889,,,,,
0.2899,,,,,
0.63385,,,,,
0.27403,,,,,
0.41691,,,,,
0.30653,,,,,
0.78993,,,,,
1.22132,,,,,
3.64753,,,,,
3.38488,,,,,
0.24088,,,,,
3.59639,,,,,
-0.35463,,,,,
3.32462,,,,,
3.40624,,,,,
-0.35478,,,,,
0.48521,,,,,
3.40556,,,,,
3.20819,,,,,
0.48044,,,,,
1.25377,,,,,
3.15641,,,,,
1.73801,,,,,
3.63992,,,,,
0.24525,,,,,
3.22588,,,,,
0.46489,,,,,
0.58263,,,,,
2.24003,,,,,
3.63288,,,,,
3.36187,,,,,
0.75875,,,,,
0.56486,,,,,
1.25126,,,,,
0.23102,,,,,
3.74929,,,,,
3.68575,,,,,
3.06492,,,,,
1.56687,,,,,
1.04683,,,,,
0.49119,,,,,
-0.42455,,,,,
0.34434,,,,,
0.67258,,,,,
2.24252,,,,,
0.99461,,,,,
0.23449,,,,,
-0.34895,,,,,
0.78507,,,,,
0.64978,,,,,
3.85222,,,,,
0.83812,,,,,
3.64793,,,,,
1.2638,,,,,
0.02768,,,,,
-0.06811,,,,,
1.25715,,,,,
3.91994,,,,,
3.66267,,,,,
0.02011,,,,,
-0.15647,,,,,
0.13435,,,,,
0.85603,,,,,
0.35468,,,,,
0.67347,,,,,
3.51616,,,,,
1.03435,,,,,
3.89952,,,,,
3.97371,,,,,
1.78936,,,,,
1.00283,,,,,
2.00905,,,,,
0.10169,,,,,
-0.14607,,,,,
0.82381,,,,,
1.15296,,,,,
0.61204,,,,,
3.9992,,,,,
0.60836,,,,,
1.38078,,,,,
-0.544,,,,,
-0.10771,,,,,
0.16855,,,,,
3.97648,,,,,
0.0811,,,,,
0.0282,,,,,
0.49962,,,,,
-0.14413,,,,,
0.14615,,,,,
3.86745,,,,,
1.19655,,,,,
0.03711,,,,,
1.08839,,,,,
0.08139,,,,,
-0.54403,,,,,
0.01788,,,,,
0.02469,,,,,
3.90199,,,,,
3.54979,,,,,
1.02257,,,,,
1.19129,,,,,
3.48911,,,,,
0.35485,,,,,
0.71946,,,,,
3.82092,,,,,
0.59359,,,,,
0.01433,,,,,
-0.21321,,,,,
-0.20945,,,,,
4.08357,,,,,
0.92932,,,,,
0.85978,,,,,
0.32163,,,,,
3.82117,,,,,
0.52876,,,,,
0.02972,,,,,
0.89075,,,,,
-0.17026,,,,,
0.35657,,,,,
2.37821,,,,,
1.30434,,,,,
0.18449,,,,,
0.02473,,,,,
-0.13593,,,,,
0.09456,,,,,
3.92278,,,,,
1.55799,,,,,
-0.30514,,,,,
0.6232,,,,,
0.51755,,,,,
4.08401,,,,,
3.5388,,,,,
0.61446,,,,,
-0.03481,,,,,
1.02958,,,,,
0.1811,,,,,
0.86743,,,,,
0.32182,,,,,
0.3397,,,,,
3.54121,,,,,
1.0285,,,,,
0.06057,,,,,
0.02387,,,,,
-0.25705,,,,,
-0.11931,,,,,
3.86381,,,,,
0.86067,,,,,
-0.21156,,,,,
0.95064,,,,,
1.26993,,,,,
3.78243,,,,,
0.73811,,,,,
3.91203,,,,,
1.81348,,,,,
3.70394,,,,,
1.46972,,,,,
1.01919,,,,,
3.97476,,,,,
1.03463,,,,,
0.84829,,,,,
1.26073,,,,,
1.65066,,,,,
1.81318,,,,,
1.41825,,,,,
4.0902,,,,,
1.44425,,,,,
0.97446,,,,,
2.19284,,,,,
1.32817,,,,,
3.5066,,,,,
1.59906,,,,,
3.81667,,,,,
3.70338,,,,,
4.25979,,,,,
3.81496,,,,,
3.78182,,,,,
1.81451,,,,,
0.67614,,,,,
4.09122,,,,,
4.0981,,,,,
1.41651,,,,,
2.62634,,,,,
3.80465,,,,,
1.48699,,,,,
1.02035,,,,,
3.50397,,,,,
0.91315,,,,,
1.45891,,,,,
0.83482,,,,,
3.99,,,,,
0.86176,,,,,
0.67567,,,,,
0.96736,,,,,
3.88093,,,,,
2.62989,,,,,
1.34366,,,,,
3.68022,,,,,
0.71035,,,,,
1.52679,,,,,
0.44038,,,,,
3.99063,,,,,
0.42174,,,,,
1.53029,,,,,
0.10734,,,,,
4.03056,,,,,
0.09308,,,,,
1.84731,,,,,
0.3299,,,,,
1.48437,,,,,
3.9071,,,,,
0.4551,,,,,
4.14231,,,,,
0.42233,,,,,
1.29466,,,,,
0.10649,,,,,
1.54966,,,,,
0.62145,,,,,
0.93089,,,,,
4.12747,,,,,
3.66462,,,,,
0.69681,,,,,
4.08182,,,,,
3.93708,,,,,
3.96824,,,,,
1.45716,,,,,
1.32476,,,,,
1.32395,,,,,
1.76015,,,,,
3.48096,,,,,
0.41132,,,,,
3.99337,,,,,
2.30329,,,,,
0.44017,,,,,
0.09429,,,,,
1.48426,,,,,
0.61082,,,,,
1.45202,,,,,
3.92358,,,,,
1.48283,,,,,
3.73216,,,,,
1.10813,,,,,
0.59278,,,,,
4.09477,,,,,
1.82943,,,,,
0.59133,,,,,
1.14764,,,,,
3.86818,,,,,
0.7338,,,,,
0.74143,,,,,
1.09359,,,,,
1.08839,,,,,
3.87323,,,,,
1.39497,,,,,
0.78163,,,,,
0.25114,,,,,
0.76113,,,,,
0.23353,,,,,
0.83142,,,,,
0.5776,,,,,
0.70779,,,,,
3.375,,,,,
3.77334,,,,,
3.78089,,,,,
3.71464,,,,,
1.17044,,,,,
0.19676,,,,,
0.96434,,,,,
3.73502,,,,,
3.70528,,,,,
1.1906,,,,,
0.72834,,,,,
0.74696,,,,,
0.54042,,,,,
1.49211,,,,,
0.832,,,,,
3.54704,,,,,
3.49651,,,,,
1.64385,,,,,
1.23139,,,,,
1.04268,,,,,
0.74299,,,,,
1.55429,,,,,
3.93824,,,,,
3.70028,,,,,
0.13995,,,,,
0.35472,,,,,
1.39249,,,,,
3.47507,,,,,
1.04493,,,,,
4.15079,,,,,
1.54682,,,,,
3.61661,,,,,
1.47601,,,,,
1.23839,,,,,
1.1158,,,,,
3.74573,,,,,
1.10075,,,,,
1.6913,,,,,
1.15445,,,,,
1.60776,,,,,
3.86226,,,,,
3.74811,,,,,
1.10244,,,,,
3.74514,,,,,
4.02711,,,,,
1.10658,,,,,
1.00563,,,,,
1.6769,,,,,
0.94004,,,,,
1.04066,,,,,
4.21496,,,,,
1.09795,,,,,
4.12221,,,,,
1.22101,,,,,
1.07172,,,,,
3.74779,,,,,
4.18993,,,,,
1.95543,,,,,
1.12336,,,,,
1.05232,,,,,
1.68194,,,,,
1.17332,,,,,
1.0515,,,,,
4.34856,,,,,
1.92127,,,,,
2.10787,,,,,
1.07476,,,,,
1.11909,,,,,
1.2812,,,,,
1.9493,,,,,
4.06366,,,,,
0.9972,,,,,
0.94109,,,,,
4.33745,,,,,
4.38068,,,,,
