?G(O),?G(O-Ru),?G(O-Rh),?G(O-Pd),?G(O-Ir),?G(O-Pt)
0.1152,0.14813,1.40118,2.77794,0.97707,0.96061
1.9768,0.89076,0.94052,,0.81485,0.76103
1.90474,0.14512,0.81277,,0.63649,0.76228
0.49809,0.66319,1.33029,,0.57781,1.24815
0.08479,0.14035,0.88919,,0.80394,1.13733
1.93318,0.67528,0.80928,,0.51514,0.72765
1.03835,0.14251,0.182,,0.73811,2.74746
0.9894,0.61399,0.11938,,0.91561,2.66052
0.0995,0.7537,0.45484,,0.52682,2.55282
1.74161,0.3623,0.59841,,0.60871,
0.84588,0.26337,1.2353,,0.53228,
1.57372,0.43057,0.16173,,0.35542,
0.49626,0.35938,0.15671,,0.28341,
1.81509,0.30694,0.80388,,0.32035,
0.397,0.39015,0.31528,,1.13733,
0.83975,0.62624,0.06789,,0.01872,
1.03839,0.30234,0.97533,,0.02293,
1.64047,0.58234,1.21009,,0.78845,
1.11833,0.04648,0.80457,,0.28514,
0.38673,0.43054,0.74369,,0.82449,
1.57624,0.43582,1.04288,,0.72765,
0.43883,0.16431,0.48608,,0.52527,
0.72165,0.3613,1.01682,,0.86699,
1.56377,0.43576,0.9025,,0.2657,
1.48894,0.61762,1.34459,,0.37567,
0.41107,0.27757,0.9473,,0.0342,
0.41819,0.264,0.70758,,1.58654,
0.90806,0.425,0.89076,,1.39193,
0.52387,0.52441,1.03501,,1.31667,
0.48418,0.21161,2.01954,,1.40032,
0.54795,0.44075,0.65858,,1.29486,
0.98753,0.43352,0.67528,,1.43493,
0.20661,0.61201,1.03442,,1.43483,
0.55581,0.27477,1.34119,,1.24864,
0.75234,0.53126,0.85071,,,
0.20476,0.45691,0.66467,,,
0.21439,-0.08282,0.7537,,,
0.21146,0.32583,0.3623,,,
1.88133,0.36034,0.83885,,,
-0.24759,0.31204,0.26337,,,
-0.10571,0.22067,0.99579,,,
0.23883,0.91374,0.35938,,,
0.87341,0.39673,0.65636,,,
0.62989,0.21309,0.39015,,,
1.54921,0.55978,0.58234,,,
0.80502,0.56266,0.04648,,,
0.94307,0.53203,1.4742,,,
1.94146,0.5605,0.92056,,,
-0.25516,0.529,0.16431,,,
0.61225,0.52742,0.3613,,,
1.13783,0.52866,0.61762,,,
0.50782,0.76734,1.02643,,,
1.25907,0.31527,1.28432,,,
0.21546,0.35887,0.425,,,
1.43227,0.53072,0.80359,,,
0.3559,0.36016,0.21161,,,
0.61032,0.46883,0.48809,,,
-0.01012,0.84061,0.81532,,,
0.77821,0.84501,0.61201,,,
0.95099,0.35881,0.27477,,,
0.48807,0.35309,0.45691,,,
0.40953,0.31507,1.67068,,,
0.93547,0.35939,1.41791,,,
1.20414,0.58636,0.36034,,,
0.52023,0.865,0.22067,,,
0.7001,0.28925,0.39673,,,
0.43429,0.8198,0.21309,,,
0.91183,0.1055,1.45756,,,
0.71971,0.77997,0.94162,,,
0.4138,0.8564,1.40781,,,
0.43437,1.04566,1.73212,,,
0.30052,0.63396,1.4765,,,
0.09096,0.57983,1.59505,,,
0.27481,0.42188,0.53203,,,
0.27647,0.0818,0.529,,,
0.04065,0.07695,1.41094,,,
0.35782,0.76281,1.18632,,,
0.70083,0.29764,0.52742,,,
0.55296,1.07261,0.52866,,,
0.43271,1.19956,1.45973,,,
-0.03659,0.79385,0.95685,,,
0.50698,0.7644,1.47483,,,
0.55032,0.93513,1.84362,,,
0.87111,0.08014,1.14496,,,
0.41107,0.44168,1.72737,,,
0.62175,0.44238,0.76734,,,
2.07315,0.30319,0.73058,,,
1.06371,0.77682,1.58371,,,
1.11105,1.07209,0.35887,,,
0.75986,0.08403,0.36016,,,
0.95623,0.28706,0.46883,,,
1.06757,1.12414,0.58636,,,
1.18021,0.4443,1.1797,,,
1.07154,1.13675,0.865,,,
0.29978,0.93519,0.28925,,,
0.99754,0.61596,1.32582,,,
0.29242,0.75076,0.1055,,,
2.32862,0.75137,0.8564,,,
2.07152,1.12388,0.42188,,,
0.99885,0.671,0.0818,,,
0.42412,0.65758,1.83756,,,
2.1008,0.59668,1.48877,,,
1.25439,0.28883,1.30978,,,
1.14138,0.5188,0.07695,,,
0.57419,0.6784,0.92369,,,
0.95932,0.88753,1.58381,,,
1.53669,0.72937,0.79385,,,
1.72953,0.23221,1.55882,,,
1.60358,0.40575,1.93749,,,
1.41129,0.56924,0.93513,,,
0.61661,0.34658,0.96883,,,
1.63904,0.41433,1.49395,,,
0.95742,0.2595,0.08014,,,
1.18483,0.56987,0.44168,,,
0.82867,0.12203,0.91701,,,
0.7615,0.46301,1.33952,,,
1.47658,0.3727,1.49114,,,
0.07395,0.44611,0.44238,,,
0.93032,0.17675,1.69372,,,
0.9312,0.25375,1.5172,,,
0.29424,0.61591,0.77682,,,
0.26405,0.27525,0.08403,,,
0.45628,0.51728,0.91401,,,
0.76006,0.27288,0.28706,,,
0.43904,0.51924,1.20518,,,
0.2975,0.13814,1.4613,,,
0.49632,0.8412,0.4443,,,
0.79333,0.91593,1.56431,,,
0.81834,0.1441,0.61596,,,
0.71961,1.26889,1.04248,,,
0.93075,0.26253,1.77843,,,
0.45706,0.98266,0.65758,,,
-0.10375,0.26502,0.64201,,,
0.83739,0.25794,1.26025,,,
1.12697,0.1419,1.40794,,,
0.54762,0.83772,0.81316,,,
-0.10258,1.00593,0.28883,,,
0.67849,0.26496,0.5188,,,
0.94559,0.06744,0.72937,,,
0.56374,0.69403,0.7729,,,
0.93749,0.77105,0.83016,,,
0.7634,0.37466,1.28016,,,
1.00397,0.08885,0.34658,,,
0.29933,0.374,1.35166,,,
0.45237,0.08314,0.41433,,,
0.55126,0.06802,0.2595,,,
0.91848,0.07077,0.12203,,,
0.29069,0.39367,0.92593,,,
0.50325,0.80347,0.17675,,,
-0.01664,0.12989,0.25375,,,
1.07267,0.67186,0.56377,,,
0.83186,1.07444,0.61897,,,
1.4046,0.12956,1.11586,,,
-0.02749,1.45234,0.27525,,,
0.37969,0.41021,0.51728,,,
0.13026,0.76522,0.27288,,,
0.36015,0.42618,0.51924,,,
0.40613,0.51757,0.568,,,
0.36106,-0.00299,0.13814,,,
0.65997,0.08764,0.1441,,,
0.16095,0.57781,0.805,,,
1.51404,-0.00146,0.54613,,,
1.04355,0.80394,1.69627,,,
0.28181,0.51514,0.26253,,,
0.05769,0.73811,0.26502,,,
0.12548,0.84896,1.44733,,,
0.799,0.52682,0.25794,,,
-0.05198,0.25158,0.54777,,,
-0.14624,0.49461,0.55062,,,
-0.0519,0.53228,0.1419,,,
0.8032,0.35542,0.26496,,,
1.14989,0.36329,0.06744,,,
0.58495,0.96061,1.33315,,,
1.453,0.76103,0.49348,,,
0.11956,-0.26464,1.58407,,,
0.86799,0.76228,0.69403,,,
-0.0561,0.28341,0.77105,,,
0.27135,0.32035,0.76501,,,
0.42652,0.01872,1.52039,,,
0.54109,-0.27161,0.96964,,,
0.36825,0.02293,0.80355,,,
0.43899,0.28514,0.37466,,,
0.93665,0.72765,0.08885,,,
1.15414,0.52527,0.79047,,,
1.16012,0.01815,0.374,,,
0.43575,0.67207,0.50018,,,
0.7822,0.2657,0.90903,,,
0.44544,0.37567,0.08314,,,
0.87145,0.0342,1.39215,,,
0.66258,0.9334,1.80876,,,
0.9427,0.98171,0.88976,,,
1.0881,0.9808,0.89295,,,
1.00323,0.78924,0.06802,,,
0.58675,0.78791,0.50575,,,
1.55729,0.85861,0.76957,,,
1.0356,0.7867,1.32668,,,
0.54755,1.15458,1.44981,,,
0.98349,0.95556,0.07077,,,
0.93843,0.94291,0.99595,,,
1.098,0.94342,0.67186,,,
0.54688,0.99222,0.6337,,,
0.822,0.94559,0.41021,,,
1.37103,0.74471,0.63649,,,
1.52013,0.8874,0.57781,,,
1.66265,0.89023,0.73811,,,
1.51315,0.95671,0.91561,,,
0.89622,0.72812,0.84896,,,
1.82382,,0.60871,,,
0.43132,,1.1686,,,
0.82363,,0.25158,,,
0.6697,,0.49461,,,
0.58457,,0.35542,,,
0.86379,,0.76103,,,
0.3804,,0.76228,,,
0.50367,,1.24815,,,
0.0025,,0.28341,,,
0.27184,,1.51536,,,
0.18112,,1.13733,,,
0.41349,,0.78845,,,
-0.03146,,0.28514,,,
0.88008,,0.82449,,,
-0.03626,,0.52527,,,
0.75521,,0.86699,,,
0.19994,,0.2657,,,
-0.08218,,0.37567,,,
1.17594,,2.10451,,,
0.12949,,2.09563,,,
0.13947,,1.97634,,,
-0.14463,,2.10518,,,
0.19004,,2.03588,,,
0.86052,,1.72172,,,
0.39039,,1.78023,,,
-0.37696,,,,,
0.54554,,,,,
0.61435,,,,,
0.20327,,,,,
0.70834,,,,,
0.22092,,,,,
0.12789,,,,,
0.32045,,,,,
-0.15698,,,,,
0.24576,,,,,
-0.03301,,,,,
0.4538,,,,,
-0.06738,,,,,
-0.19136,,,,,
1.3621,,,,,
0.72794,,,,,
0.84837,,,,,
-0.19379,,,,,
0.97469,,,,,
0.6394,,,,,
1.69712,,,,,
0.59456,,,,,
1.03396,,,,,
0.46748,,,,,
0.54889,,,,,
1.5944,,,,,
0.73003,,,,,
0.54169,,,,,
0.53291,,,,,
1.6705,,,,,
1.5744,,,,,
0.47653,,,,,
0.43433,,,,,
1.11837,,,,,
1.29486,,,,,
0.72857,,,,,
1.69829,,,,,
0.98233,,,,,
1.29255,,,,,
0.74196,,,,,
0.47309,,,,,
0.598,,,,,
-0.18726,,,,,
-0.18519,,,,,
1.16712,,,,,
0.81182,,,,,
1.44741,,,,,
1.29263,,,,,
-0.00509,,,,,
-0.00583,,,,,
0.1897,,,,,
1.25099,,,,,
1.16347,,,,,
0.58444,,,,,
1.19449,,,,,
0.19649,,,,,
0.58129,,,,,
1.07595,,,,,
1.04036,,,,,
1.00119,,,,,
-0.00157,,,,,
1.38067,,,,,
1.0763,,,,,
0.5911,,,,,
-0.00765,,,,,
0.59024,,,,,
1.32562,,,,,
1.2279,,,,,
0.20141,,,,,
0.97988,,,,,
1.30069,,,,,
1.11863,,,,,
1.40769,,,,,
1.40118,,,,,
0.94052,,,,,
0.81277,,,,,
1.33029,,,,,
0.24583,,,,,
0.88919,,,,,
0.7753,,,,,
0.80928,,,,,
0.182,,,,,
0.11938,,,,,
0.75572,,,,,
0.45484,,,,,
0.59841,,,,,
1.2353,,,,,
0.16173,,,,,
0.15671,,,,,
0.63803,,,,,
0.80388,,,,,
0.1214,,,,,
0.11228,,,,,
1.47245,,,,,
0.80738,,,,,
0.31528,,,,,
0.06789,,,,,
0.97533,,,,,
0.63762,,,,,
1.21009,,,,,
0.75972,,,,,
0.80457,,,,,
0.47943,,,,,
1.46276,,,,,
0.74369,,,,,
1.04288,,,,,
0.75995,,,,,
0.48608,,,,,
0.80795,,,,,
0.61726,,,,,
1.01682,,,,,
0.9025,,,,,
1.34459,,,,,
0.74992,,,,,
0.9473,,,,,
1.13362,,,,,
0.71374,,,,,
0.92691,,,,,
0.70758,,,,,
0.14813,,,,,
0.89076,,,,,
1.03501,,,,,
2.01954,,,,,
1.01815,,,,,
0.14512,,,,,
0.90445,,,,,
0.65858,,,,,
0.66319,,,,,
0.14035,,,,,
0.67528,,,,,
1.43813,,,,,
1.03442,,,,,
1.34119,,,,,
0.85071,,,,,
0.7586,,,,,
0.66467,,,,,
0.7449,,,,,
0.14251,,,,,
0.61399,,,,,
0.7537,,,,,
0.70491,,,,,
0.3623,,,,,
0.83885,,,,,
1.42816,,,,,
1.10271,,,,,
0.26337,,,,,
0.66019,,,,,
0.43057,,,,,
0.99579,,,,,
0.35938,,,,,
0.65636,,,,,
0.30694,,,,,
0.39015,,,,,
1.97784,,,,,
1.19564,,,,,
0.62624,,,,,
0.30234,,,,,
1.99859,,,,,
0.82602,,,,,
0.58234,,,,,
0.04648,,,,,
1.4742,,,,,
0.43054,,,,,
1.82242,,,,,
1.06818,,,,,
0.92056,,,,,
0.43582,,,,,
1.11557,,,,,
0.16431,,,,,
0.3613,,,,,
0.43576,,,,,
0.61762,,,,,
1.02643,,,,,
0.27757,,,,,
1.28432,,,,,
1.85477,,,,,
1.14604,,,,,
0.264,,,,,
0.425,,,,,
0.52441,,,,,
0.80359,,,,,
0.21161,,,,,
0.48809,,,,,
0.44075,,,,,
0.43352,,,,,
1.14199,,,,,
0.81532,,,,,
0.61201,,,,,
0.27477,,,,,
1.86033,,,,,
0.53126,,,,,
0.45691,,,,,
-0.08282,,,,,
0.32583,,,,,
1.53343,,,,,
1.67068,,,,,
1.22822,,,,,
1.41791,,,,,
0.36034,,,,,
1.44924,,,,,
0.31204,,,,,
0.22067,,,,,
0.91374,,,,,
0.39673,,,,,
0.21309,,,,,
1.45756,,,,,
1.47756,,,,,
0.55978,,,,,
1.61809,,,,,
0.94162,,,,,
0.56266,,,,,
1.40781,,,,,
1.73212,,,,,
1.4765,,,,,
1.59505,,,,,
1.08213,,,,,
0.53203,,,,,
1.45436,,,,,
1.43493,,,,,
0.5605,,,,,
0.529,,,,,
1.41094,,,,,
1.66448,,,,,
1.18632,,,,,
0.52742,,,,,
0.52866,,,,,
1.43483,,,,,
1.29406,,,,,
2.22241,,,,,
1.31316,,,,,
1.45973,,,,,
0.94459,,,,,
0.95685,,,,,
1.47483,,,,,
1.84362,,,,,
1.14496,,,,,
1.72737,,,,,
0.76734,,,,,
0.31527,,,,,
0.73058,,,,,
1.58371,,,,,
0.35887,,,,,
0.53072,,,,,
0.36016,,,,,
0.46883,,,,,
0.84061,,,,,
0.84501,,,,,
0.35881,,,,,
0.35309,,,,,
1.25021,,,,,
0.31507,,,,,
0.35939,,,,,
0.58636,,,,,
1.1797,,,,,
1.89624,,,,,
0.865,,,,,
0.28925,,,,,
1.24817,,,,,
1.11444,,,,,
0.8198,,,,,
1.32582,,,,,
0.1055,,,,,
0.77997,,,,,
1.86186,,,,,
0.8564,,,,,
1.04566,,,,,
0.63396,,,,,
0.57983,,,,,
0.42188,,,,,
0.0818,,,,,
1.83756,,,,,
1.48877,,,,,
1.30978,,,,,
0.07695,,,,,
0.76281,,,,,
0.29764,,,,,
0.92369,,,,,
1.07261,,,,,
1.58381,,,,,
1.19956,,,,,
0.79385,,,,,
1.55882,,,,,
1.93749,,,,,
0.7644,,,,,
0.93513,,,,,
0.96883,,,,,
1.49395,,,,,
0.08014,,,,,
0.44168,,,,,
0.91701,,,,,
1.33952,,,,,
1.49114,,,,,
0.44238,,,,,
1.69372,,,,,
0.30319,,,,,
1.5172,,,,,
0.77682,,,,,
1.07209,,,,,
0.72812,,,,,
0.08403,,,,,
0.91401,,,,,
0.28706,,,,,
1.20518,,,,,
1.4613,,,,,
1.12414,,,,,
0.4443,,,,,
1.13675,,,,,
0.93519,,,,,
1.56431,,,,,
0.61596,,,,,
1.04248,,,,,
0.75076,,,,,
0.75137,,,,,
1.72449,,,,,
1.77843,,,,,
1.12388,,,,,
0.671,,,,,
1.74662,,,,,
1.33261,,,,,
0.65758,,,,,
0.59668,,,,,
0.64201,,,,,
1.16846,,,,,
1.26025,,,,,
1.40794,,,,,
0.81316,,,,,
0.28883,,,,,
2.05461,,,,,
0.5188,,,,,
0.6784,,,,,
0.88753,,,,,
0.72937,,,,,
0.7729,,,,,
0.23221,,,,,
0.83016,,,,,
1.28016,,,,,
1.78975,,,,,
0.40575,,,,,
0.56924,,,,,
0.34658,,,,,
1.35166,,,,,
0.41433,,,,,
0.2595,,,,,
0.56987,,,,,
0.12203,,,,,
1.13475,,,,,
0.92593,,,,,
0.46301,,,,,
0.3727,,,,,
1.54575,,,,,
1.42358,,,,,
0.44611,,,,,
0.17675,,,,,
0.25375,,,,,
1.18381,,,,,
0.56377,,,,,
0.61897,,,,,
1.11586,,,,,
0.61591,,,,,
1.84752,,,,,
0.27525,,,,,
0.51728,,,,,
0.27288,,,,,
0.51924,,,,,
0.568,,,,,
0.13814,,,,,
2.1744,,,,,
0.8412,,,,,
1.64054,,,,,
0.55618,,,,,
0.91593,,,,,
0.1441,,,,,
0.805,,,,,
0.54613,,,,,
1.69627,,,,,
1.26889,,,,,
0.26253,,,,,
1.64613,,,,,
1.13095,,,,,
0.98266,,,,,
0.26502,,,,,
1.24864,,,,,
1.27103,,,,,
1.44733,,,,,
0.25794,,,,,
0.80692,,,,,
1.50372,,,,,
0.54777,,,,,
1.2679,,,,,
1.12665,,,,,
0.78624,,,,,
1.56073,,,,,
0.55062,,,,,
0.1419,,,,,
0.83772,,,,,
1.00593,,,,,
0.26496,,,,,
0.06744,,,,,
1.33315,,,,,
0.49348,,,,,
1.58407,,,,,
0.69403,,,,,
0.77105,,,,,
0.76501,,,,,
1.52039,,,,,
0.96964,,,,,
0.80355,,,,,
0.37466,,,,,
0.08885,,,,,
1.35678,,,,,
0.79047,,,,,
0.374,,,,,
0.20644,,,,,
0.50018,,,,,
1.65343,,,,,
0.90903,,,,,
0.08314,,,,,
1.39215,,,,,
1.98959,,,,,
1.80876,,,,,
0.88976,,,,,
0.89295,,,,,
0.06802,,,,,
0.50575,,,,,
0.76957,,,,,
1.32668,,,,,
1.44981,,,,,
0.07077,,,,,
0.99595,,,,,
0.39367,,,,,
1.45968,,,,,
1.2359,,,,,
0.80347,,,,,
0.12989,,,,,
0.67186,,,,,
1.07444,,,,,
0.6337,,,,,
0.12956,,,,,
1.45234,,,,,
0.41021,,,,,
0.97842,,,,,
1.50622,,,,,
0.76522,,,,,
0.42618,,,,,
1.59441,,,,,
0.51757,,,,,
-0.00299,,,,,
0.08764,,,,,
1.23797,,,,,
0.97707,,,,,
0.81485,,,,,
0.63649,,,,,
0.57781,,,,,
2.05043,,,,,
-0.00146,,,,,
0.80394,,,,,
0.51514,,,,,
0.73811,,,,,
0.91561,,,,,
0.84896,,,,,
0.52682,,,,,
0.60871,,,,,
1.1686,,,,,
0.25158,,,,,
0.49461,,,,,
0.53228,,,,,
0.35542,,,,,
0.36329,,,,,
0.96061,,,,,
0.76103,,,,,
-0.26464,,,,,
0.76228,,,,,
1.24815,,,,,
0.28341,,,,,
0.32035,,,,,
1.51536,,,,,
1.13733,,,,,
0.01872,,,,,
-0.27161,,,,,
0.02293,,,,,
0.78845,,,,,
0.28514,,,,,
0.82449,,,,,
0.72765,,,,,
0.52527,,,,,
0.86699,,,,,
0.01815,,,,,
0.67207,,,,,
0.2657,,,,,
0.37567,,,,,
0.0342,,,,,
