?G(O),?G(O-Ru),?G(O-Rh),?G(O-Pd),?G(O-Ir),?G(O-Pt)
1.77138,1.22538,1.21004,1.4291,0.07488,1.4291
1.38724,0.94756,0.94725,1.44558,0.37801,1.08672
1.22538,0.94836,0.82584,0.53616,0.9201,0.83441
1.90074,0.956,1.46484,1.14031,0.88988,0.91932
1.27524,0.94846,0.80623,0.54256,0.6072,1.44558
0.98171,0.94725,1.59262,0.9201,0.27957,1.14031
0.94756,0.82584,0.83217,0.88988,1.07478,1.00036
1.65074,0.83217,0.57397,1.80779,0.99568,0.46938
2.39543,0.57397,1.78089,0.99568,1.22635,0.30852
1.67446,0.51303,0.74685,1.53611,0.99986,1.07478
0.94836,0.7238,1.02761,0.99986,0.37639,1.12537
1.56719,0.55483,0.55483,1.4753,0.38427,1.28318
2.35523,0.71948,0.77894,0.98742,0.27642,2.11212
1.53472,0.68639,0.68639,0.89585,0.75872,1.80779
1.91516,0.69067,0.81047,0.87751,0.27522,1.22635
1.90343,0.50707,0.75058,0.91787,0.91787,1.53611
1.57208,0.80512,0.69067,0.9981,0.9981,1.54698
1.81471,0.68998,1.17707,1.80965,1.1119,0.98742
1.57595,0.68528,1.63257,0.60372,0.93141,0.87751
1.74806,0.72001,1.75974,0.18865,0.7195,1.54814
1.20987,0.30921,0.77576,0.90622,0.7147,1.80965
1.21453,0.47045,0.77864,0.18609,1.08596,1.12441
1.62481,0.53419,1.55165,0.51046,0.71993,1.2783
2.74746,0.5368,0.75428,1.21725,0.42743,1.03169
1.58654,0.32788,1.43513,0.19009,0.71681,0.90622
2.10451,0.46898,0.7531,0.25159,1.06517,1.2678
1.67721,1.14846,0.77832,1.21474,0.7105,0.58166
0.956,0.32556,1.18118,0.82179,0.96999,0.91032
1.21033,0.71591,0.75158,0.91032,0.95699,1.0294
2.09563,0.33479,0.68998,0.3848,0.91792,1.71089
0.94846,0.71476,0.81941,0.51777,0.50731,0.98213
1.97634,0.07041,0.68528,0.51454,1.49882,0.66589
1.39783,0.24802,0.79226,0.38701,1.07374,0.90555
0.9808,0.53616,0.78232,0.51173,1.22243,1.03371
1.21004,0.33363,0.78238,1.71089,0.50188,0.98179
2.66052,1.14031,0.82405,0.25254,1.51376,1.03573
2.55282,0.54256,1.0748,0.98213,1.17807,1.37802
0.94725,0.24643,0.84439,0.82121,0.38865,1.03275
1.81342,0.52447,0.30921,1.34198,0.49498,0.58188
0.82584,0.07488,0.47045,0.90555,0.49809,1.18201
1.46484,0.46938,0.53419,0.18686,0.84588,0.90859
0.80623,0.37801,0.5368,0.25426,1.57372,1.26458
1.59262,0.6072,1.25025,0.98179,0.49626,0.584
0.83217,0.30852,0.32788,0.38548,0.397,0.98218
0.57397,0.27957,0.46898,0.26009,0.83975,1.71014
0.51303,0.43594,1.10296,0.19421,0.38673,0.90484
1.78089,0.16549,0.32556,0.82114,0.41819,0.66976
0.74685,0.06785,0.8383,1.37802,0.52387,1.55198
1.02761,0.00435,0.71591,0.1862,0.54795,0.99424
0.7238,-0.00201,0.33479,0.5117,0.55581,0.9084
0.55483,0.37639,1.0083,0.25298,0.75234,0.79648
1.29144,0.38427,1.08672,1.18201,0.20476,1.65982
0.77894,0.98742,0.83441,0.90859,0.21146,1.80217
0.71948,0.27642,0.91932,0.51262,0.23883,1.38647
0.68639,0.87751,0.71476,1.21714,0.87341,1.64656
0.81047,0.27522,0.24802,0.98218,0.62989,0.7195
0.75058,0.07347,0.53616,1.71014,0.3559,1.08596
0.69067,0.60372,0.33363,0.90484,0.61032,0.71993
0.77129,1.03169,0.54256,1.34058,0.52023,1.59823
1.17707,0.18865,0.24643,1.55198,0.7001,1.53954
1.24065,0.49171,1.00036,0.38371,0.43437,1.36946
1.63257,0.90622,0.52447,0.25706,0.30052,1.04264
1.75974,0.18609,0.46938,0.60684,0.09096,1.54237
0.77576,0.51046,0.9201,0.82347,0.27481,0.80112
0.50707,0.19009,0.6072,0.82846,0.27647,0.96999
0.77864,0.25159,0.27957,0.25244,0.35782,1.03332
1.55165,0.58166,1.07478,0.99424,0.70083,1.11924
0.75428,0.09459,1.12537,0.51487,0.43271,1.51905
0.80512,0.09527,1.28318,0.51055,0.62175,2.2851
0.78924,0.91032,0.43594,0.9084,1.06371,0.95699
1.43513,0.3848,0.16549,0.18696,1.11105,1.49882
0.7531,0.51777,0.06785,0.18712,0.29978,1.07374
0.77832,0.51454,0.00435,0.25749,0.29242,0.97633
