?G(OH),?G(OH-Ru),?G(OH-Rh),?G(OH-Pd),?G(OH-Ir),?G(OH-Pt)
0.93077,0.05657,0.34052,,0.60373,
0.12679,0.31591,0.02751,,0.56038,
0.43509,0.14785,0.49804,,0.56293,
0.28768,0.06274,0.02787,,0.54415,
0.45695,0.11033,0.02843,,0.70059,
0.25978,0.1507,0.35098,,0.5437,
0.14202,0.18336,0.10637,,0.54489,
0.25144,0.30609,0.53056,,0.54589,
0.41308,0.26395,0.42443,,0.63032,
0.39529,0.51549,0.05032,,0.60113,
0.24574,0.19823,0.31319,,0.54635,
0.03404,0.19774,0.46847,,0.54642,
0.02787,0.22366,0.10634,,0.62618,
-0.1001,0.57592,0.13861,,0.58901,
0.8741,0.21489,0.04733,,0.56401,
0.03253,0.11156,0.04765,,0.6824,
0.02843,-0.02172,0.48532,,0.69957,
0.1851,0.04409,0.42396,,0.68164,
0.71255,0.49609,0.4315,,0.59713,
0.92401,-0.01978,0.06133,,0.52343,
0.37195,0.09572,0.82855,,0.69749,
0.12625,0.07638,0.23329,,0.52311,
-0.02488,0.37714,0.23478,,0.5384,
0.57902,0.12107,0.24991,,0.53599,
0.1259,0.52693,0.46985,,0.67932,
0.9255,0.09013,0.23547,,0.54596,
0.54997,0.55384,0.56241,,0.4875,
-0.03458,0.55171,0.67551,,0.37591,
0.0952,0.17719,0.37954,,0.45712,
0.18647,0.3648,0.2474,,0.48728,
0.12727,0.24347,0.36665,,0.49004,
0.24741,0.30918,0.43772,,0.53124,
0.47408,0.17606,0.50591,,0.5253,
0.30762,0.2841,0.50861,,0.48967,
-0.04626,0.2565,0.14416,,0.31988,
0.15132,0.33939,0.03665,,0.52561,
0.62571,0.65834,0.0377,,0.52841,
0.42051,0.28977,0.53969,,0.32704,
0.18632,0.06565,0.2926,,0.4673,
0.53466,0.05899,0.17106,,0.47406,
0.27757,0.12297,0.16951,,0.46312,
0.41672,0.06193,0.50297,,0.50339,
-0.09966,0.96271,0.03727,,0.50481,
0.18611,0.12268,0.15491,,0.4645,
0.28842,0.09844,0.5235,,0.47823,
0.35098,0.34052,0.03781,,0.55035,
0.19627,0.02751,0.52163,,0.56021,
0.70917,0.06499,0.15941,,0.40626,
0.57807,0.42389,0.14094,,0.53213,
0.38423,-0.09842,0.2933,,0.56409,
0.53955,0.02787,0.17269,,0.36987,
0.18551,-0.1001,0.30648,,0.52766,
0.18989,0.02843,0.16534,,0.58176,
0.33017,-0.03458,0.33807,,0.38698,
0.234,-0.09966,0.18087,,0.49447,
0.8978,0.35098,0.10596,,0.36943,
0.33505,0.10637,0.10373,,0.71779,
0.07972,0.53056,0.16566,,0.53485,
0.92831,0.39728,-0.05488,,0.56443,
1.04505,0.2491,0.11565,,0.56113,
0.41433,0.05032,0.40466,,0.52955,
-0.0435,0.31319,0.10283,,0.57644,
0.05624,0.46847,-0.05512,,0.53191,
0.12494,0.10634,0.16211,,0.57562,
0.15925,0.13861,0.10268,,0.7682,
0.4146,0.04733,0.16881,,0.45897,
0.10637,0.04765,0.11808,,0.53976,
0.40748,0.48532,0.11006,,0.52663,
0.19796,0.28712,0.05859,,0.43337,
0.12353,0.70896,0.10192,,0.51716,
0.168,0.24748,0.10224,,0.45668,
0.38175,0.06133,0.77285,,0.54234,
0.44375,0.23329,0.64461,,0.54529,
0.53056,0.23478,0.387,,0.67493,
0.35567,0.50365,0.56735,,0.32207,
0.07359,0.24991,0.38047,,0.55494,
0.48801,0.23547,0.18994,,0.32356,
0.20023,0.37954,0.04158,,0.3146,
0.29359,0.2474,0.00495,,0.32324,
0.53381,0.36665,0.01795,,0.66539,
0.39728,0.18609,0.08117,,0.31934,
0.2491,0.43772,0.50682,,0.4244,
0.26458,0.18881,0.51096,,0.44039,
0.65344,0.19428,0.05716,,0.41982,
0.03496,0.63403,0.17043,,0.42832,
0.15807,0.14416,0.0698,,0.41307,
0.43214,0.03665,0.41781,,0.40661,
0.12168,0.0377,0.2782,,0.6279,
0.42443,0.2926,0.20388,,0.46003,
0.05032,0.17106,0.38364,,0.46081,
0.19807,0.16951,0.56208,,0.49696,
0.17826,0.19177,0.03131,,0.41347,
0.414,0.03727,0.52291,,0.47303,
0.31319,0.15491,0.71986,,0.4952,
0.46847,0.03781,0.26844,,0.45421,
0.12483,0.15941,0.65212,,0.54411,
0.10634,0.14094,0.22357,,0.42872,
0.80974,0.2933,0.43918,,0.42648,
0.13861,0.17269,0.46955,,0.4687,
0.03621,0.19265,0.06517,,0.42729,
0.18291,0.30648,0.46551,,0.49735,
0.01936,0.16534,0.23252,,0.49003,
0.39707,0.33807,0.60903,,0.64382,
0.44533,0.18087,0.30574,,0.35688,
0.35454,0.16566,0.23756,,0.52465,
0.5092,-0.05488,0.31675,,0.51798,
0.04733,-0.01341,0.01952,,0.48743,
0.04765,0.06847,0.32763,,0.51989,
0.48532,0.11565,0.36592,,0.41893,
0.2015,0.06075,0.96946,,0.4697,
0.6873,0.40466,0.56023,,0.63136,
0.28712,-0.05512,0.1388,,0.4268,
0.42396,0.05993,0.14008,,0.42075,
0.03479,0.16211,0.13939,,0.48342,
0.35489,0.16881,0.14095,,0.6796,
0.03783,0.11808,1.24801,,0.43008,
0.51918,0.06839,0.15414,,0.49499,
0.38225,0.0711,0.15306,,0.69367,
0.15891,0.05859,0.15304,,0.38605,
0.29629,0.387,0.15391,,0.40231,
0.70896,0.56735,0.15267,,0.47114,
0.26376,0.38047,0.82585,,0.38739,
0.16741,0.48387,0.71145,,0.4259,
0.20206,0.18994,0.4798,,0.39374,
0.23938,0.41474,0.2987,,0.53943,
0.29731,0.04158,0.2286,,0.5146,
0.11875,0.19531,0.92101,,0.38918,
0.24748,0.00495,0.22491,,0.38955,
0.4315,0.01795,0.32515,,0.42562,
0.02821,0.08117,0.23404,,0.4943,
0.37512,0.0454,0.08043,,0.39085,
0.19306,0.50682,0.38828,,0.50466,
0.27929,0.51096,0.5513,,0.39061,
0.64148,0.05716,0.53124,,0.45819,
0.20774,0.17043,0.36531,,0.44502,
0.4048,0.0698,0.06534,,0.41508,
0.06133,-0.25296,0.26364,,0.54185,
0.46068,-0.2536,0.04906,,0.69451,
0.12795,0.41781,0.38726,,0.68028,
0.18831,-0.24901,0.6693,,0.53541,
0.09379,-0.2482,0.07359,,0.57224,
0.12347,-0.25291,0.76682,,0.63199,
0.80589,-0.25344,0.24684,,0.70064,
0.30569,0.2782,0.38086,,0.50426,
0.63959,0.38364,0.09174,,0.4904,
1.02203,0.20539,0.41756,,,
0.50705,0.03131,0.0898,,,
0.34513,0.26844,0.32609,,,
0.35571,0.10096,0.21663,,,
0.13274,0.76884,0.2499,,,
1.19149,0.13764,0.24885,,,
0.41473,0.22357,0.4762,,,
0.81603,0.43918,0.46333,,,
0.60373,0.06517,0.66594,,,
1.07173,0.46551,0.76885,,,
0.25397,0.23252,0.7312,,,
0.21855,0.30574,0.66473,,,
0.32519,0.49126,0.6759,,,
0.9689,0.23756,0.76917,,,
0.57037,0.30462,0.702,,,
0.72357,0.3019,0.67711,,,
0.25704,0.01952,0.61695,,,
0.21307,0.32763,0.72976,,,
0.82855,0.15852,0.69114,,,
0.51764,0.30904,0.8219,,,
0.30262,0.36592,0.74399,,,
0.23329,0.1388,0.59056,,,
0.27632,0.14008,0.53414,,,
0.23478,0.13939,0.57701,,,
0.96672,0.14095,0.56324,,,
1.03175,0.15414,0.61943,,,
0.28668,0.15306,0.55812,,,
0.50365,0.15304,0.61764,,,
0.95348,0.15391,0.59567,,,
0.59509,0.15267,0.57569,,,
0.53263,0.2987,0.67966,,,
0.31003,0.31501,0.64501,,,
0.3765,0.33807,0.6029,,,
0.56038,0.45273,0.68008,,,
1.05677,0.32515,0.6247,,,
0.56293,0.23404,0.94523,,,
0.59109,0.4659,0.6875,,,
0.34796,0.08043,0.6927,,,
0.54415,0.53124,0.71255,,,
0.30078,0.06534,0.70917,,,
0.535,0.26364,0.57807,,,
0.2926,0.04906,0.80589,,,
0.26125,0.07359,0.81603,,,
1.02446,0.19012,0.59109,,,
0.70059,0.24684,0.5663,,,
0.50779,0.24883,0.67547,,,
0.30295,0.38086,0.87608,,,
0.52078,0.09174,0.80034,,,
0.96454,0.0898,0.54507,,,
0.5437,0.32609,0.80942,,,
0.25018,0.26095,0.82405,,,
0.24991,-0.2229,0.549,,,
0.51382,0.21663,0.94307,,,
0.32515,0.33024,0.69258,,,
0.46985,0.11537,0.89634,,,
0.23547,-0.21907,0.83117,,,
0.30286,0.14297,0.58614,,,
0.35906,0.2499,0.57764,,,
0.52074,0.24885,0.88007,,,
0.27404,-0.22126,0.85404,,,
0.47546,0.22311,0.79107,,,
0.54489,0.14817,0.61502,,,
0.54589,0.1465,0.59942,,,
0.96117,0.15773,0.77194,,,
0.56241,0.29366,0.57724,,,
0.27915,0.2949,0.56609,,,
0.19374,0.28973,0.83289,,,
0.63032,0.29088,0.63576,,,
1.02833,0.1724,0.63409,,,
1.23122,0.28531,0.67007,,,
0.57392,0.24774,0.79998,,,
0.30103,0.18393,0.63505,,,
0.30946,0.17306,0.8266,,,
0.7787,0.17174,0.64173,,,
1.02643,0.2462,0.62226,,,
0.51962,0.39197,0.56466,,,
0.60113,0.33879,0.89166,,,
0.99441,0.29881,0.52605,,,
0.57041,0.26784,0.71273,,,
0.24644,0.32781,0.65123,,,
0.84303,0.35264,0.47721,,,
0.32678,0.32711,0.59829,,,
1.00198,0.15183,0.80345,,,
0.54635,0.30682,0.60842,,,
1.01162,0.24546,0.78379,,,
0.72368,0.31067,0.58206,,,
0.29618,0.31877,0.50701,,,
0.53866,0.30733,0.70684,,,
0.45333,0.25101,0.66636,,,
0.26233,0.23483,0.50463,,,
0.67551,0.2039,0.61229,,,
0.56834,0.30669,0.58806,,,
0.19054,0.23851,0.59355,,,
0.54642,0.24174,0.58199,,,
0.94972,0.28626,0.63135,,,
1.17348,0.27229,,,,
0.29445,0.07514,,,,
0.5663,0.30634,,,,
0.25391,0.09998,,,,
1.03414,0.0974,,,,
0.28192,0.29649,,,,
0.52165,0.08561,,,,
0.62618,0.30651,,,,
0.83771,0.28296,,,,
0.58901,0.16683,,,,
0.35519,0.17238,,,,
1.03328,0.16285,,,,
0.73076,0.28177,,,,
0.37954,0.16342,,,,
0.2474,0.12113,,,,
0.60368,0.15405,,,,
0.7545,0.12514,,,,
0.55687,0.14872,,,,
0.09585,0.15493,,,,
0.28599,0.14739,,,,
0.28206,0.18287,,,,
0.51632,0.15256,,,,
0.36665,0.15926,,,,
0.15028,0.17293,,,,
0.18609,0.1338,,,,
-0.19462,0.26252,,,,
1.13093,0.11777,,,,
-0.01276,0.16922,,,,
0.21877,0.12319,,,,
0.25274,0.15363,,,,
0.56401,0.31363,,,,
0.6824,0.29057,,,,
0.43772,0.30047,,,,
0.26388,0.28044,,,,
0.2089,0.33034,,,,
0.69957,0.23404,,,,
0.68164,0.20012,,,,
0.43252,0.28745,,,,
0.42685,0.3689,,,,
-0.19416,0.24574,,,,
0.0137,0.1851,,,,
-0.19054,0.18647,,,,
1.07052,0.27757,,,,
0.54968,0.28842,,,,
0.59713,0.38423,,,,
0.84337,0.18989,,,,
0.52793,0.33017,,,,
0.52343,0.234,,,,
0.66128,0.33505,,,,
1.08886,0.19796,,,,
0.69749,0.38175,,,,
0.98901,0.44375,,,,
0.52311,0.48801,,,,
-0.19651,0.12168,,,,
0.32452,0.39707,,,,
0.18881,0.44533,,,,
0.4927,0.11875,,,,
0.24887,0.19306,,,,
0.5384,0.20774,,,,
1.31857,0.12795,,,,
0.14662,0.30569,,,,
1.15144,0.50705,,,,
-0.14962,0.34513,,,,
0.36519,0.35571,,,,
0.20829,0.13274,,,,
1.08052,0.41473,,,,
0.53599,0.25704,,,,
1.03363,0.27632,,,,
0.67932,0.28668,,,,
0.19428,0.26125,,,,
0.50591,0.25018,,,,
0.50861,0.27404,,,,
0.39635,0.27915,,,,
0.04634,0.24644,,,,
0.28506,0.25391,,,,
0.23494,0.28192,,,,
0.63403,0.15028,,,,
0.14416,0.26388,,,,
0.25203,0.43252,,,,
0.24179,0.14662,,,,
0.03665,0.36519,,,,
0.61476,0.24179,,,,
0.41488,0.23945,,,,
0.2873,0.41808,,,,
0.01389,0.24756,,,,
0.30269,0.27174,,,,
0.55067,0.24634,,,,
0.32334,0.38052,,,,
0.0377,0.4343,,,,
0.32665,0.41562,,,,
0.51174,0.2411,,,,
0.53969,0.7969,,,,
0.54596,0.2397,,,,
0.30872,0.36045,,,,
0.33936,0.23104,,,,
0.28199,0.21933,,,,
0.2926,0.335,,,,
0.04014,0.23813,,,,
0.17106,0.53507,,,,
0.27203,0.23038,,,,
0.58118,0.3298,,,,
0.2479,0.22916,,,,
0.16951,0.26956,,,,
0.32801,0.30501,,,,
0.41317,0.30928,,,,
0.50297,0.26089,,,,
0.56574,0.30093,,,,
0.04325,0.30172,,,,
0.23945,0.32509,,,,
0.64581,0.30387,,,,
0.13604,0.30043,,,,
0.41808,0.19251,,,,
0.45056,0.19462,,,,
0.19177,0.2464,,,,
0.03727,0.44025,,,,
0.24756,0.37988,,,,
0.27174,0.07659,,,,
0.24634,0.37112,,,,
0.15491,0.29546,,,,
0.5235,0.24609,,,,
0.4875,0.32124,,,,
0.47892,0.28723,,,,
0.3067,0.24679,,,,
0.03781,0.30829,,,,
0.52163,0.34669,,,,
0.30078,0.06754,,,,
0.56959,0.06451,,,,
0.15941,0.06722,,,,
-0.01982,0.29535,,,,
0.14094,0.28672,,,,
0.2933,0.28407,,,,
0.40127,0.06281,,,,
0.17269,0.06444,,,,
0.37591,0.42653,,,,
0.45699,0.32224,,,,
0.41648,0.42432,,,,
0.24683,0.38693,,,,
0.19265,0.31645,,,,
0.30091,0.30603,,,,
0.47917,0.2609,,,,
0.47341,0.26661,,,,
0.35408,0.27464,,,,
0.30855,0.20514,,,,
0.30648,0.19227,,,,
0.16534,0.35396,,,,
0.33807,0.37566,,,,
0.00629,0.19156,,,,
0.30954,0.25535,,,,
0.30708,0.13168,,,,
0.38052,0.2346,,,,
0.13622,0.20794,,,,
0.67547,0.12849,,,,
0.4343,0.12403,,,,
0.4741,0.14402,,,,
0.41562,0.13673,,,,
0.45712,0.13746,,,,
0.2411,0.19685,,,,
0.1644,0.15583,,,,
0.32443,0.18954,,,,
0.48728,0.31254,,,,
1.0921,0.30582,,,,
-0.01615,0.2113,,,,
0.5014,0.2921,,,,
0.45759,0.27183,,,,
0.49004,0.29708,,,,
-0.02072,0.23495,,,,
0.18087,0.30185,,,,
0.15139,0.48372,,,,
0.10596,0.23537,,,,
0.14067,0.28657,,,,
0.10373,0.23237,,,,
0.22313,0.45566,,,,
0.01485,0.40484,,,,
0.21731,0.34241,,,,
0.51306,0.34382,,,,
0.16566,0.37237,,,,
-0.05488,0.1636,,,,
0.15638,0.30162,,,,
0.49517,0.16719,,,,
0.20891,0.24406,,,,
-0.01341,0.25337,,,,
0.06847,0.25814,,,,
0.53124,0.25844,,,,
0.51228,0.25709,,,,
0.26708,0.3234,,,,
0.11565,0.2912,,,,
0.45876,,,,,
0.06075,,,,,
0.40466,,,,,
0.02087,,,,,
0.17102,,,,,
0.12118,,,,,
0.02258,,,,,
0.15203,,,,,
0.16968,,,,,
0.10283,,,,,
0.51217,,,,,
0.12389,,,,,
0.5253,,,,,
-0.01751,,,,,
-0.05512,,,,,
0.48967,,,,,
0.41045,,,,,
-0.01789,,,,,
0.01436,,,,,
0.05993,,,,,
0.14859,,,,,
0.26781,,,,,
0.0123,,,,,
0.1197,,,,,
0.6742,,,,,
0.14309,,,,,
0.45664,,,,,
0.11357,,,,,
0.16211,,,,,
-0.04854,,,,,
0.10268,,,,,
0.16881,,,,,
0.20876,,,,,
0.31988,,,,,
0.22263,,,,,
0.02389,,,,,
0.11808,,,,,
0.2463,,,,,
0.60464,,,,,
0.2286,,,,,
0.66879,,,,,
0.11006,,,,,
0.02219,,,,,
0.51223,,,,,
0.20081,,,,,
1.22717,,,,,
0.52561,,,,,
0.06839,,,,,
-0.02019,,,,,
0.17861,,,,,
0.02841,,,,,
0.0711,,,,,
0.05859,,,,,
0.2312,,,,,
0.7969,,,,,
0.52841,,,,,
0.92393,,,,,
0.10192,,,,,
-0.01716,,,,,
0.10224,,,,,
0.02016,,,,,
-0.01868,,,,,
0.21213,,,,,
-0.01993,,,,,
0.32704,,,,,
0.02932,,,,,
0.24367,,,,,
0.77285,,,,,
0.68853,,,,,
0.24293,,,,,
0.26648,,,,,
0.2397,,,,,
0.32611,,,,,
0.34439,,,,,
0.46975,,,,,
0.48535,,,,,
0.26576,,,,,
0.21163,,,,,
0.48983,,,,,
0.24591,,,,,
0.53248,,,,,
0.52576,,,,,
0.24535,,,,,
0.64461,,,,,
0.4673,,,,,
0.87608,,,,,
0.36045,,,,,
0.387,,,,,
0.43371,,,,,
0.16827,,,,,
0.17075,,,,,
0.32392,,,,,
0.43675,,,,,
0.94666,,,,,
0.23104,,,,,
0.32458,,,,,
0.79429,,,,,
0.27188,,,,,
0.47406,,,,,
0.24233,,,,,
0.47902,,,,,
0.36685,,,,,
0.21933,,,,,
0.32107,,,,,
0.24583,,,,,
0.303,,,,,
0.47474,,,,,
0.68886,,,,,
0.335,,,,,
0.48782,,,,,
0.84546,,,,,
0.80034,,,,,
0.20891,,,,,
0.52646,,,,,
0.25633,,,,,
0.26869,,,,,
0.54507,,,,,
0.73172,,,,,
0.46312,,,,,
1.01,,,,,
0.43946,,,,,
0.24651,,,,,
0.56723,,,,,
0.49097,,,,,
1.01174,,,,,
0.76754,,,,,
0.50339,,,,,
0.34985,,,,,
0.643,,,,,
0.4705,,,,,
0.36924,,,,,
0.26653,,,,,
0.1718,,,,,
1.26313,,,,,
0.74227,,,,,
0.56735,,,,,
0.24677,,,,,
0.23813,,,,,
0.16992,,,,,
0.38047,,,,,
1.09769,,,,,
0.80942,,,,,
0.82405,,,,,
0.94465,,,,,
0.88623,,,,,
0.549,,,,,
0.53507,,,,,
0.32354,,,,,
0.23038,,,,,
0.64343,,,,,
0.3298,,,,,
0.50481,,,,,
1.00914,,,,,
1.00155,,,,,
0.4645,,,,,
0.22916,,,,,
0.48387,,,,,
0.28833,,,,,
0.18994,,,,,
0.20066,,,,,
0.41474,,,,,
0.16116,,,,,
0.12154,,,,,
-0.07225,,,,,
-0.04591,,,,,
0.30636,,,,,
0.04674,,,,,
0.04158,,,,,
0.15724,,,,,
0.19531,,,,,
0.00495,,,,,
0.01795,,,,,
0.07789,,,,,
0.40983,,,,,
0.08117,,,,,
0.0454,,,,,
0.50682,,,,,
0.34481,,,,,
0.14612,,,,,
0.18184,,,,,
0.25392,,,,,
0.15239,,,,,
0.51096,,,,,
0.05716,,,,,
-0.02634,,,,,
0.17043,,,,,
0.11682,,,,,
0.0698,,,,,
0.13486,,,,,
0.05987,,,,,
0.26956,,,,,
0.94307,,,,,
0.99854,,,,,
0.30501,,,,,
0.30928,,,,,
0.33681,,,,,
0.26089,,,,,
0.47823,,,,,
0.13023,,,,,
0.34638,,,,,
0.55035,,,,,
0.99723,,,,,
0.69258,,,,,
-0.25296,,,,,
0.8689,,,,,
0.44186,,,,,
0.5584,,,,,
-0.2536,,,,,
0.30093,,,,,
0.17563,,,,,
0.43695,,,,,
0.46309,,,,,
0.45317,,,,,
0.30172,,,,,
0.23252,,,,,
0.96291,,,,,
0.44188,,,,,
0.1979,,,,,
0.01244,,,,,
1.00868,,,,,
0.56021,,,,,
0.19347,,,,,
0.05673,,,,,
0.53055,,,,,
0.40626,,,,,
0.89634,,,,,
0.90845,,,,,
0.4555,,,,,
0.32509,,,,,
0.53213,,,,,
0.41781,,,,,
0.47008,,,,,
-0.24901,,,,,
-0.2482,,,,,
0.4696,,,,,
0.36584,,,,,
1.3431,,,,,
-0.25291,,,,,
0.97766,,,,,
1.11506,,,,,
0.83117,,,,,
0.30387,,,,,
0.20926,,,,,
-0.25344,,,,,
1.08602,,,,,
0.30043,,,,,
0.56409,,,,,
1.15322,,,,,
1.22466,,,,,
0.36987,,,,,
0.52766,,,,,
0.30249,,,,,
0.64406,,,,,
0.50752,,,,,
0.85708,,,,,
-0.10107,,,,,
0.2782,,,,,
0.59514,,,,,
0.40218,,,,,
0.20388,,,,,
0.46436,,,,,
0.23267,,,,,
0.38364,,,,,
0.53549,,,,,
0.47733,,,,,
-0.09247,,,,,
0.58176,,,,,
0.51387,,,,,
0.18467,,,,,
-0.09946,,,,,
0.42007,,,,,
0.66864,,,,,
0.6159,,,,,
0.4045,,,,,
0.56208,,,,,
0.19251,,,,,
0.64534,,,,,
0.59758,,,,,
0.62379,,,,,
0.37241,,,,,
0.3041,,,,,
0.38698,,,,,
1.1982,,,,,
0.25604,,,,,
0.58614,,,,,
0.49447,,,,,
0.96516,,,,,
0.22954,,,,,
0.33119,,,,,
0.4026,,,,,
0.19462,,,,,
0.85807,,,,,
0.2464,,,,,
0.41951,,,,,
0.36943,,,,,
1.14807,,,,,
0.71779,,,,,
1.20684,,,,,
0.20539,,,,,
0.47419,,,,,
0.43976,,,,,
0.53485,,,,,
0.03131,,,,,
-0.10401,,,,,
0.33151,,,,,
0.52291,,,,,
0.71986,,,,,
0.57764,,,,,
0.19499,,,,,
0.26844,,,,,
0.5935,,,,,
0.43979,,,,,
-0.10754,,,,,
-0.03305,,,,,
0.56443,,,,,
0.56423,,,,,
0.18458,,,,,
-0.06017,,,,,
0.45555,,,,,
0.88446,,,,,
0.56113,,,,,
0.49098,,,,,
0.22986,,,,,
0.52955,,,,,
0.30535,,,,,
0.20409,,,,,
0.44025,,,,,
0.22986,,,,,
0.36796,,,,,
-0.10918,,,,,
0.14098,,,,,
0.57644,,,,,
0.53191,,,,,
0.88007,,,,,
-0.02983,,,,,
-0.11587,,,,,
0.37988,,,,,
0.57562,,,,,
0.07659,,,,,
0.7682,,,,,
0.45897,,,,,
1.03561,,,,,
0.53976,,,,,
1.14375,,,,,
0.06356,,,,,
0.54746,,,,,
0.393,,,,,
0.66137,,,,,
0.06286,,,,,
0.37112,,,,,
0.29546,,,,,
0.18813,,,,,
0.4876,,,,,
0.24609,,,,,
0.2872,,,,,
0.32124,,,,,
0.52663,,,,,
0.94676,,,,,
0.50546,,,,,
0.10096,,,,,
0.39204,,,,,
0.65212,,,,,
0.76884,,,,,
0.13764,,,,,
0.28906,,,,,
0.43337,,,,,
0.51716,,,,,
0.65973,,,,,
0.47545,,,,,
0.2353,,,,,
0.57719,,,,,
0.3637,,,,,
0.1147,,,,,
0.06404,,,,,
0.23848,,,,,
0.2037,,,,,
0.28723,,,,,
0.85404,,,,,
0.24679,,,,,
0.45668,,,,,
0.2366,,,,,
0.11678,,,,,
0.79107,,,,,
0.07239,,,,,
0.30829,,,,,
0.34669,,,,,
0.54234,,,,,
0.90291,,,,,
0.54529,,,,,
0.05429,,,,,
0.4961,,,,,
0.67493,,,,,
0.76191,,,,,
0.22357,,,,,
0.06754,,,,,
0.2079,,,,,
0.56732,,,,,
0.43918,,,,,
0.46955,,,,,
0.06451,,,,,
0.17549,,,,,
1.07112,,,,,
0.32207,,,,,
0.06722,,,,,
0.07226,,,,,
0.92673,,,,,
0.51693,,,,,
0.15636,,,,,
0.02529,,,,,
0.61502,,,,,
0.55494,,,,,
1.1155,,,,,
0.32356,,,,,
0.42365,,,,,
0.20989,,,,,
0.3146,,,,,
0.06517,,,,,
0.38433,,,,,
0.29535,,,,,
0.25136,,,,,
0.32324,,,,,
1.08948,,,,,
1.1228,,,,,
0.59942,,,,,
0.46551,,,,,
0.66539,,,,,
0.77194,,,,,
0.28672,,,,,
0.23252,,,,,
0.28407,,,,,
0.31934,,,,,
0.06281,,,,,
1.12875,,,,,
0.20836,,,,,
0.3836,,,,,
0.06444,,,,,
0.08094,,,,,
0.60903,,,,,
0.9681,,,,,
0.4244,,,,,
0.0642,,,,,
0.30574,,,,,
0.49126,,,,,
0.40842,,,,,
0.23756,,,,,
0.31675,,,,,
0.30462,,,,,
0.3019,,,,,
0.44039,,,,,
0.37731,,,,,
0.19909,,,,,
0.01952,,,,,
0.94505,,,,,
0.54432,,,,,
0.32763,,,,,
0.15852,,,,,
0.42653,,,,,
0.30904,,,,,
0.57724,,,,,
0.41982,,,,,
0.48802,,,,,
0.36592,,,,,
0.42832,,,,,
0.18662,,,,,
0.24345,,,,,
0.32224,,,,,
0.15876,,,,,
0.3878,,,,,
0.38388,,,,,
0.42432,,,,,
0.41307,,,,,
1.08723,,,,,
0.56609,,,,,
0.38693,,,,,
0.15826,,,,,
0.31645,,,,,
0.40661,,,,,
0.30603,,,,,
0.4046,,,,,
0.6279,,,,,
0.93952,,,,,
0.336,,,,,
0.96946,,,,,
0.46003,,,,,
0.46081,,,,,
0.49696,,,,,
0.41347,,,,,
0.22256,,,,,
0.70741,,,,,
0.81051,,,,,
0.83289,,,,,
0.63576,,,,,
0.2609,,,,,
0.24061,,,,,
0.47303,,,,,
0.4952,,,,,
0.21635,,,,,
0.11315,,,,,
0.83653,,,,,
0.45421,,,,,
0.51371,,,,,
0.11294,,,,,
0.12172,,,,,
0.54411,,,,,
0.42872,,,,,
0.98214,,,,,
0.42648,,,,,
0.63409,,,,,
0.50255,,,,,
0.49745,,,,,
0.83291,,,,,
0.67007,,,,,
0.38839,,,,,
0.78214,,,,,
1.2389,,,,,
0.26661,,,,,
1.04249,,,,,
1.19886,,,,,
1.2654,,,,,
0.79998,,,,,
0.63505,,,,,
1.01408,,,,,
0.27464,,,,,
0.4687,,,,,
1.00868,,,,,
0.82721,,,,,
0.42729,,,,,
0.49735,,,,,
0.30307,,,,,
0.12262,,,,,
0.56023,,,,,
0.8266,,,,,
0.35071,,,,,
0.19721,,,,,
0.33936,,,,,
0.14025,,,,,
0.45166,,,,,
0.4489,,,,,
0.09257,,,,,
0.09022,,,,,
0.60678,,,,,
0.13653,,,,,
0.09578,,,,,
0.32928,,,,,
0.1388,,,,,
0.27234,,,,,
0.23412,,,,,
0.22723,,,,,
0.55314,,,,,
0.57039,,,,,
0.20514,,,,,
0.46225,,,,,
0.14008,,,,,
0.27359,,,,,
1.11998,,,,,
0.23147,,,,,
0.55361,,,,,
0.35478,,,,,
0.33394,,,,,
0.08971,,,,,
0.91261,,,,,
0.13939,,,,,
0.19227,,,,,
0.49003,,,,,
1.08572,,,,,
0.14095,,,,,
0.35396,,,,,
0.2319,,,,,
0.37566,,,,,
0.19156,,,,,
0.12466,,,,,
0.44762,,,,,
0.64382,,,,,
-0.19382,,,,,
1.24801,,,,,
0.64173,,,,,
0.52708,,,,,
-0.22522,,,,,
0.25535,,,,,
-0.01153,,,,,
0.45613,,,,,
0.13168,,,,,
0.8195,,,,,
0.2346,,,,,
0.2646,,,,,
0.69304,,,,,
0.62226,,,,,
0.20794,,,,,
0.15414,,,,,
0.48339,,,,,
0.7845,,,,,
0.12849,,,,,
0.15306,,,,,
0.41599,,,,,
0.65374,,,,,
0.56466,,,,,
0.15304,,,,,
0.94114,,,,,
-0.00989,,,,,
0.78969,,,,,
0.03183,,,,,
0.12403,,,,,
0.14402,,,,,
0.06532,,,,,
0.44991,,,,,
0.15391,,,,,
0.41693,,,,,
0.97347,,,,,
0.64865,,,,,
0.15267,,,,,
0.13673,,,,,
-0.22601,,,,,
0.13746,,,,,
0.88766,,,,,
0.19685,,,,,
0.15583,,,,,
0.94146,,,,,
0.90275,,,,,
0.35688,,,,,
0.18954,,,,,
0.89166,,,,,
1.00154,,,,,
0.35245,,,,,
0.31254,,,,,
0.82585,,,,,
0.52465,,,,,
0.67177,,,,,
0.07253,,,,,
0.8354,,,,,
0.83967,,,,,
0.71145,,,,,
0.73542,,,,,
0.48741,,,,,
0.51798,,,,,
0.18181,,,,,
0.48132,,,,,
-0.0115,,,,,
0.81594,,,,,
