# Radial distribution function (50 data points):
# "Pair separation distance" Ti-Ti Ti-V Ti-Al Ti-Cr Ti-Zr Ti-N Ti-O V-V V-Al V-Cr V-Zr V-N V-O Al-Al Al-Cr Al-Zr Al-N Al-O Cr-Cr Cr-Zr Cr-N Cr-O Zr-Zr Zr-N Zr-O N-N N-O O-O
1.47 0.9284866566 0.0 0.0 1.5193418018 0.0 0.0 0.0 2.3502318496 0.0 0.4273148817 0.0 0.0 0.0662037141 0.2937789812 0.0 0.0 0.0 0.0 1.2430978378 0.0 0.3598441109 0.0 0.0 0.0 0.0 0.0 0.2508772323 0.0298382937 
1.53 0.0 0.0 0.0 0.7012646297 0.0 0.0 0.0 2.169537448 0.0 0.7889227084 0.0 0.6851170889 0.1222274619 0.0 0.0 0.0 0.1141861815 0.0 0.0 0.0 0.1660889912 0.0444463498 0.0 0.0 0.0 0.5769407064 0.2830530696 0.0137721084 
1.59 0.0 0.0 0.0 1.2986875107 0.0 0.0 0.0 2.0089072431 0.0 1.0957675871 0.0 1.2687835219 0.3395336185 0.0 0.0 0.0 0.2114639203 0.2546502139 2.1251250174 0.0 0.4613758262 0.5350226716 0.0 0.0 0.0 0.0 0.1667884442 0.0127524364 
1.65 2.2109358333 0.0 0.0 1.50745625 0.0 0.0 0.1401297359 0.9327385547 0.0 1.356710625 0.0 1.3745620806 1.1560703213 0.0 0.0 0.0 0.1963660115 0.2364689294 0.9866986363 0.0 0.7140582237 0.7643440141 0.0 0.0 0.0 0.1653608518 0.1548802344 0.0 
1.71 0.0 0.0 0.0 1.964950974 0.0 0.8125737111 0.7828174907 3.4737526148 0.0 0.6315913845 0.0 3.4737526148 3.1312699626 0.2171095384 0.0 0.0 0.4570727125 2.2261372391 0.0 0.0 1.8615325017 0.8895653303 0.0 0.0 0.0 0.1539613347 0.1030023014 0.0110255985 
1.77 0.6404459857 0.0 0.0 1.048002522 0.0 1.2134766044 2.4760904657 1.6211289012 0.0 1.4737535466 0.0 4.09548354 2.8312673768 0.2026411127 0.0 0.0 0.8532257375 10.2062622373 1.2861849134 0.0 2.73032236 2.6236964547 0.0 0.136516118 0.1826624114 0.4311035305 0.1922762225 0.0308725202 
1.83 0.5991416942 0.0 0.0 0.9804136815 0.0 1.1352158417 4.5568523223 3.7914435338 0.0 1.6544480875 0.0 4.7891918321 3.3749187512 0.0 0.0 0.0 1.835856869 10.4665201778 1.2032349727 0.0 5.4567761481 3.1690836605 0.0 0.2554235644 0.3417639242 0.4033003648 0.1798757496 0.0962715279 
1.89 0.0 0.0 0.0 1.3787376142 0.2527685626 2.2616134549 4.09413869 2.1327347469 0.0 0.5170266053 0.0 4.4899678883 3.20410854 0.0 0.0 0.0 2.5443151367 5.3068047694 4.1362128426 0.0 5.8777761447 3.8740585075 0.0 0.4789299081 1.121437989 3.0248204721 0.2192284791 0.0812309207 
1.95 0.5276757553 0.2968176124 0.0 1.2952041267 0.0 2.9994200828 4.6821933218 2.0035188835 0.0 0.7285523213 0.0 5.6239126553 2.708983279 0.0 0.0 0.0 1.6871737966 2.2762984497 2.8258999128 0.0 5.0103949111 3.3109795633 0.0 0.3374347593 3.3109795633 3.7887411573 0.3009981421 0.1441399554 
2.01 0.0 0.2793629384 0.0 2.4380765533 0.0 2.1172770068 3.556959103 1.8856998342 0.1571416528 2.0571270918 0.0 6.0871713945 2.549678649 0.0 0.0 0.0 0.9263086905 1.1686027141 2.3272548918 0.0 2.8871959184 2.9875022554 0.0 0.635183102 4.4194429916 3.45450459 0.3429392335 0.119703223 
2.07 0.0 0.2634038123 0.0 2.298796907 0.0 3.105392313 2.1369098009 0.5926585776 0.1481646444 2.1551221003 0.0 6.4880517967 1.7028499976 0.0 0.323268315 0.0 0.9357767015 0.6177004893 0.9404169165 0.344819536 2.9037434615 1.9183622076 0.0 1.1977941779 6.116904305 2.7318112828 0.7451067069 0.1881082571 
