Platinum  Palladium  Nickel  Cobalt  Iron  Oxygen
   1.000000000000000
 26.8390302326635251 -15.5088069955373857  0.2610371749561117
  0.0000000000000000 31.1794617591341989 -0.0663812827791770
  0.0000000000000000  0.0000000000000000 22.9220064906261953
Pt Pd Ni Co Fe O
   171   126   144   135   144   1
Selective dynamics
Direct
  0.0599800000000000  0.0126433333333336  0.1856799999999999   F   F   F
  0.1980633333333333  0.2046833333333334  0.3764799999999993   F   F   F
  0.2876300000000001  0.2921833333333331  0.3730399999999995   F   F   F
  0.1433666666666668  0.2631766666666665  0.4712499999999990   F   F   F
  0.1489333333333332  0.2623666666666662  0.1840499999999998   F   F   F
  0.1464566666666667  0.0976100000000001  0.1841599999999998   F   F   F
  0.2312233333333333  0.1775433333333332  0.4738999999999996   F   F   F
  0.1773833333333334  0.0668233333333333  0.2805199999999997   F   F   F
  0.2328266666666669  0.2630366666666667  0.4740699999999992   F   F   F
  0.0856066666666670  0.0681466666666668  0.2832899999999998   F   F   F
  0.2812133333333334  0.1207600000000002  0.0961199999999998   F   F   F
  0.2822900000000000  0.2887566666666663  0.0914199999999998   F   F   F
  0.1170600000000001  0.0390400000000003  0.3784299999999994   F   F   F
  0.0332966666666667  0.2022233333333334  0.0909099999999999   F   F   F
  0.2579300000000002  0.3206666666666667  0.2782099999999994   F   F   F
  0.1973233333333334  0.2040733333333334  0.0982199999999999   F   F   F
  0.2843466666666669  0.0392666666666668  0.0941800000000000   F   F   F
  0.2308633333333335  0.0124200000000002  0.4686399999999995   F   F   F
  0.0331699999999999  0.1228166666666666  0.3717699999999994   F   F   F
  0.3933133333333335  0.0126433333333336  0.1856799999999999   F   F   F
  0.5313966666666669  0.2046833333333333  0.3764799999999993   F   F   F
  0.6209633333333334  0.2921833333333331  0.3730399999999995   F   F   F
  0.4767000000000002  0.2631766666666666  0.4712499999999991   F   F   F
  0.4822666666666666  0.2623666666666663  0.1840499999999998   F   F   F
  0.4797900000000001  0.0976100000000001  0.1841599999999998   F   F   F
  0.5645566666666666  0.1775433333333332  0.4738999999999996   F   F   F
  0.5107166666666669  0.0668233333333334  0.2805199999999998   F   F   F
  0.5661600000000004  0.2630366666666668  0.4740699999999992   F   F   F
  0.4189400000000004  0.0681466666666668  0.2832899999999998   F   F   F
  0.6145466666666669  0.1207600000000001  0.0961199999999999   F   F   F
  0.6156233333333335  0.2887566666666664  0.0914199999999998   F   F   F
  0.4503933333333335  0.0390400000000003  0.3784299999999994   F   F   F
  0.3666300000000001  0.2022233333333334  0.0909099999999999   F   F   F
  0.5912633333333335  0.3206666666666667  0.2782099999999994   F   F   F
  0.5306566666666668  0.2040733333333333  0.0982199999999998   F   F   F
  0.6176800000000002  0.0392666666666668  0.0941800000000000   F   F   F
  0.5641966666666669  0.0124200000000002  0.4686399999999995   F   F   F
  0.3665033333333333  0.1228166666666666  0.3717699999999995   F   F   F
  0.7266466666666669  0.0126433333333335  0.1856799999999998   F   F   F
  0.8647300000000002  0.2046833333333334  0.3764799999999994   F   F   F
  0.9542966666666668  0.2921833333333331  0.3730399999999996   F   F   F
  0.8100333333333336  0.2631766666666666  0.4712499999999991   F   F   F
  0.8156000000000001  0.2623666666666662  0.1840499999999997   F   F   F
  0.8131233333333335  0.0976100000000000  0.1841599999999998   F   F   F
  0.8978900000000002  0.1775433333333332  0.4738999999999997   F   F   F
  0.8440500000000004  0.0668233333333333  0.2805199999999997   F   F   F
  0.8994933333333338  0.2630366666666668  0.4740699999999993   F   F   F
  0.7522733333333339  0.0681466666666668  0.2832899999999998   F   F   F
  0.9478800000000003  0.1207600000000003  0.0961199999999998   F   F   F
  0.9489566666666669  0.2887566666666663  0.0914199999999998   F   F   F
  0.7837266666666669  0.0390400000000003  0.3784299999999994   F   F   F
  0.6999633333333336  0.2022233333333334  0.0909099999999999   F   F   F
  0.9245966666666670  0.3206666666666667  0.2782099999999993   F   F   F
  0.8639900000000001  0.2040733333333334  0.0982199999999999   F   F   F
  0.9510133333333336  0.0392666666666667  0.0941800000000000   F   F   F
  0.8975300000000003  0.0124200000000002  0.4686399999999995   F   F   F
  0.6998366666666667  0.1228166666666665  0.3717699999999994   F   F   F
  0.0599800000000000  0.3459766666666669  0.1856799999999999   F   F   F
  0.1980633333333333  0.5380166666666666  0.3764799999999993   F   F   F
  0.2876300000000001  0.6255166666666664  0.3730399999999995   F   F   F
  0.1433666666666668  0.5965099999999998  0.4712499999999991   F   F   F
  0.1489333333333332  0.5956999999999998  0.1840499999999998   F   F   F
  0.1464566666666667  0.4309433333333333  0.1841599999999998   F   F   F
  0.2312233333333333  0.5108766666666664  0.4738999999999996   F   F   F
  0.1773833333333334  0.4001566666666666  0.2805199999999997   F   F   F
  0.2328266666666669  0.5963700000000001  0.4740699999999992   F   F   F
  0.0856066666666670  0.4014800000000000  0.2832899999999999   F   F   F
  0.2812133333333334  0.4540933333333335  0.0961199999999999   F   F   F
  0.2822900000000000  0.6220899999999997  0.0914199999999998   F   F   F
  0.1170600000000001  0.3723733333333336  0.3784299999999994   F   F   F
  0.0332966666666667  0.5355566666666669  0.0909099999999999   F   F   F
  0.2579300000000002  0.6540000000000001  0.2782099999999994   F   F   F
  0.1973233333333334  0.5374066666666666  0.0982199999999999   F   F   F
  0.2843466666666669  0.3726000000000000  0.0941800000000000   F   F   F
  0.2308633333333335  0.3457533333333335  0.4686399999999996   F   F   F
  0.0331699999999999  0.4561499999999999  0.3717699999999994   F   F   F
  0.3933133333333335  0.3459766666666668  0.1856799999999999   F   F   F
  0.5313966666666669  0.5380166666666666  0.3764799999999994   F   F   F
  0.6209633333333334  0.6255166666666663  0.3730399999999995   F   F   F
  0.4767000000000002  0.5965099999999999  0.4712499999999991   F   F   F
  0.4822666666666666  0.5956999999999997  0.1840499999999998   F   F   F
  0.4797900000000001  0.4309433333333333  0.1841599999999998   F   F   F
  0.5645566666666666  0.5108766666666664  0.4738999999999997   F   F   F
  0.5107166666666669  0.4001566666666666  0.2805199999999997   F   F   F
  0.5661600000000004  0.5963700000000001  0.4740699999999992   F   F   F
  0.4189400000000004  0.4014800000000001  0.2832899999999998   F   F   F
  0.6145466666666669  0.4540933333333335  0.0961199999999998   F   F   F
  0.6156233333333335  0.6220899999999996  0.0914199999999998   F   F   F
  0.4503933333333335  0.3723733333333336  0.3784299999999994   F   F   F
  0.3666300000000001  0.5355566666666667  0.0909099999999999   F   F   F
  0.5912633333333335  0.6539999999999999  0.2782099999999994   F   F   F
  0.5306566666666668  0.5374066666666666  0.0982199999999999   F   F   F
  0.6176800000000002  0.3726000000000000  0.0941800000000000   F   F   F
  0.5641966666666669  0.3457533333333335  0.4686399999999995   F   F   F
  0.3665033333333333  0.4561499999999998  0.3717699999999994   F   F   F
  0.7266466666666669  0.3459766666666668  0.1856799999999999   F   F   F
  0.8647300000000002  0.5380166666666667  0.3764799999999993   F   F   F
  0.9542966666666668  0.6255166666666663  0.3730399999999995   F   F   F
  0.8100333333333336  0.5965099999999999  0.4712499999999991   F   F   F
  0.8156000000000001  0.5956999999999996  0.1840499999999998   F   F   F
  0.8131233333333335  0.4309433333333334  0.1841599999999998   F   F   F
  0.8978900000000002  0.5108766666666664  0.4738999999999996   F   F   F
  0.8440500000000004  0.4001566666666666  0.2805199999999997   F   F   F
  0.8994933333333338  0.5963700000000001  0.4740699999999992   F   F   F
  0.7522733333333339  0.4014800000000002  0.2832899999999998   F   F   F
  0.9478800000000003  0.4540933333333335  0.0961199999999999   F   F   F
  0.9489566666666669  0.6220899999999996  0.0914199999999998   F   F   F
  0.7837266666666669  0.3723733333333336  0.3784299999999994   F   F   F
  0.6999633333333336  0.5355566666666667  0.0909099999999999   F   F   F
  0.9245966666666670  0.6539999999999999  0.2782099999999993   F   F   F
  0.8639900000000001  0.5374066666666666  0.0982199999999998   F   F   F
  0.9510133333333336  0.3726000000000000  0.0941800000000000   F   F   F
  0.8975300000000003  0.3457533333333335  0.4686399999999995   F   F   F
  0.6998366666666667  0.4561499999999998  0.3717699999999994   F   F   F
  0.0599800000000000  0.6793100000000002  0.1856799999999999   F   F   F
  0.1980633333333333  0.8713499999999998  0.3764799999999993   F   F   F
  0.2876300000000001  0.9588499999999996  0.3730399999999995   F   F   F
  0.1433666666666668  0.9298433333333331  0.4712499999999991   F   F   F
  0.1489333333333332  0.9290333333333327  0.1840499999999998   F   F   F
  0.1464566666666667  0.7642766666666666  0.1841599999999998   F   F   F
  0.2312233333333333  0.8442099999999996  0.4738999999999997   F   F   F
  0.1773833333333334  0.7334899999999999  0.2805199999999997   F   F   F
  0.2328266666666669  0.9297033333333333  0.4740699999999992   F   F   F
  0.0856066666666670  0.7348133333333333  0.2832899999999998   F   F   F
  0.2812133333333334  0.7874266666666667  0.0961199999999998   F   F   F
  0.2822900000000000  0.9554233333333331  0.0914199999999998   F   F   F
  0.1170600000000001  0.7057066666666669  0.3784299999999994   F   F   F
  0.0332966666666667  0.8688900000000002  0.0909099999999999   F   F   F
  0.2579300000000002  0.9873333333333333  0.2782099999999994   F   F   F
  0.1973233333333334  0.8707399999999998  0.0982199999999999   F   F   F
  0.2843466666666669  0.7059333333333333  0.0941800000000000   F   F   F
  0.2308633333333335  0.6790866666666667  0.4686399999999995   F   F   F
  0.0331699999999999  0.7894833333333333  0.3717699999999994   F   F   F
  0.3933133333333335  0.6793100000000001  0.1856799999999998   F   F   F
  0.5313966666666669  0.8713499999999997  0.3764799999999994   F   F   F
  0.6209633333333334  0.9588499999999998  0.3730399999999995   F   F   F
  0.4767000000000002  0.9298433333333332  0.4712499999999991   F   F   F
  0.4822666666666666  0.9290333333333328  0.1840499999999997   F   F   F
  0.4797900000000001  0.7642766666666668  0.1841599999999998   F   F   F
  0.5645566666666666  0.8442099999999999  0.4738999999999996   F   F   F
  0.5107166666666669  0.7334900000000000  0.2805199999999997   F   F   F
  0.5661600000000004  0.9297033333333334  0.4740699999999992   F   F   F
  0.4189400000000004  0.7348133333333333  0.2832899999999998   F   F   F
  0.6145466666666669  0.7874266666666667  0.0961199999999998   F   F   F
  0.6156233333333335  0.9554233333333331  0.0914199999999998   F   F   F
  0.4503933333333335  0.7057066666666669  0.3784299999999994   F   F   F
  0.3666300000000001  0.8688899999999999  0.0909099999999999   F   F   F
  0.5912633333333335  0.9873333333333332  0.2782099999999993   F   F   F
  0.5306566666666668  0.8707399999999998  0.0982199999999999   F   F   F
  0.6176800000000002  0.7059333333333333  0.0941800000000000   F   F   F
  0.5641966666666669  0.6790866666666668  0.4686399999999995   F   F   F
  0.3665033333333333  0.7894833333333333  0.3717699999999994   F   F   F
  0.7266466666666669  0.6793100000000001  0.1856799999999999   F   F   F
  0.8647300000000002  0.8713499999999998  0.3764799999999994   F   F   F
  0.9542966666666668  0.9588499999999998  0.3730399999999995   F   F   F
