?G(OH),?G(OH-Ni),?G(OH-Co),?G(OH-Fe),?G(OH-Pd),?G(OH-Pt)
0.36051,,-0.05141,0.20683,,
0.26338,,0.05707,-0.14012,,
0.55631,,0.0628,0.14376,,
0.94066,,0.07933,0.13248,,
-0.0328,,-0.05615,-0.09073,,
0.07347,,0.29271,0.61126,,
-0.03109,,0.02075,-0.12268,,
0.30208,,-0.05219,0.1088,,
0.0658,,-0.05468,0.14119,,
-0.01208,,0.08258,-0.15248,,
0.0675,,0.22083,-0.11911,,
0.91038,,0.45625,-0.15457,,
-0.16323,,0.46973,-0.15312,,
0.12352,,0.22808,0.10938,,
0.33735,,0.19925,-0.11929,,
0.12561,,0.20372,0.13672,,
-0.15195,,0.20174,-0.08306,,
0.56106,,0.21912,-0.12448,,
0.42975,,0.20074,0.54851,,
0.06519,,0.4356,-0.11846,,
0.15082,,0.47225,0.13728,,
0.15567,,0.74506,-0.09003,,
-0.15342,,0.51186,0.19109,,
1.084,,0.7202,0.10115,,
-0.03222,,0.72081,-0.02669,,
-0.186,,0.50044,0.10147,,
-0.15211,,0.50583,0.04456,,
0.12242,,0.53798,0.0432,,
0.16153,,0.32987,1.01016,,
0.90104,,0.37177,0.20052,,
0.73434,,0.51491,-0.02387,,
0.30635,,0.48543,0.04411,,
0.22904,,0.54942,0.16123,,
-0.01504,,0.63419,-0.02713,,
0.30359,,0.59725,0.16212,,
0.56312,,0.55125,0.04634,,
0.17359,,0.53794,-0.25712,,
-0.19196,,0.04709,-0.29319,,
0.21575,,-0.00227,-0.24614,,
-0.01551,,0.40062,-0.28842,,
0.12573,,0.41117,-0.20365,,
-0.18852,,0.72987,-0.29671,,
-0.15237,,0.55752,-0.33529,,
0.944,,0.39049,-0.40173,,
0.14011,,0.48592,-0.39961,,
0.1751,,0.38869,0.16547,,
0.12642,,0.49583,-0.29095,,
0.15438,,0.58062,-0.29392,,
-0.20258,,0.58577,-0.24533,,
0.36641,,,-0.3989,,
0.58424,,,-0.33364,,
0.37177,,,-0.4139,,
0.48885,,,-0.28408,,
0.03359,,,-0.25693,,
-0.223,,,-0.25564,,
0.17804,,,-0.29334,,
0.46606,,,-0.3955,,
0.28531,,,-0.42637,,
-0.23114,,,-0.2462,,
0.30354,,,-0.41594,,
0.21208,,,-0.33855,,
0.36118,,,-0.43012,,
0.40743,,,-0.25657,,
0.45473,,,-0.24141,,
-0.05404,,,-0.34127,,
0.56267,,,-0.41239,,
0.49961,,,-0.27907,,
0.45714,,,-0.3361,,
-0.22715,,,-0.33495,,
0.24573,,,-0.24663,,
-0.05202,,,-0.41383,,
0.16788,,,-0.26949,,
-0.03749,,,-0.57329,,
0.13371,,,-9.72E-04,,
-0.31336,,,-0.57849,,
-0.04866,,,-0.26808,,
0.5304,,,-0.5758,,
0.70126,,,-0.11469,,
-0.22854,,,-0.26952,,
0.18943,,,-0.2679,,
-0.20049,,,-0.01974,,
0.03819,,,-0.33472,,
0.13376,,,-0.39855,,
0.23606,,,-0.36935,,
0.45411,,,0.25306,,
0.11571,,,-0.37006,,
0.17171,,,-0.2293,,
0.13622,,,0.32588,,
-0.31688,,,-0.19584,,
-0.21412,,,-0.36818,,
-0.15987,,,-0.0183,,
0.64883,,,-0.3712,,
0.45594,,,-0.3304,,
0.26789,,,-0.12682,,
0.13417,,,-0.19651,,
0.78118,,,-0.19628,,
-0.2842,,,-0.01821,,
-0.13625,,,-0.33442,,
0.49389,,,-0.39746,,
-0.4576,,,-0.32514,,
-0.11636,,,-0.23313,,
-0.07505,,,-0.15359,,
-0.12252,,,-0.15528,,
0.93526,,,-0.15242,,
0.90864,,,-0.29813,,
-0.23581,,,-0.32596,,
-0.09332,,,-0.32632,,
-0.11197,,,-0.06448,,
-0.11781,,,-0.2333,,
-0.13237,,,-0.32563,,
-0.09971,,,-0.20213,,
-0.28751,,,0.03375,,
0.13509,,,-0.38317,,
0.96546,,,-0.19817,,
-0.1018,,,-0.38192,,
0.02631,,,-0.30321,,
-0.13443,,,-0.19168,,
0.06688,,,-0.3021,,
0.13641,,,-0.23255,,
1.02516,,,-0.325,,
-0.10983,,,0.24575,,
-0.4566,,,-0.35894,,
-0.13808,,,-0.20279,,
-0.13118,,,-0.1097,,
-0.12811,,,-0.12425,,
1.06895,,,-0.3561,,
-0.13451,,,-0.05403,,
0.13781,,,-0.05426,,
-0.0998,,,-0.12316,,
-0.25202,,,-0.1216,,
-0.13781,,,-0.36111,,
-0.45755,,,-0.12342,,
-0.45629,,,-0.05467,,
-0.28774,,,-0.05696,,
0.91192,,,-0.05605,,
-0.2527,,,-0.36152,,
-0.45808,,,-0.35936,,
-0.45856,,,-0.36242,,
-0.45869,,,-0.20128,,
-0.26336,,,-0.12401,,
0.12459,,,0.31303,,
0.49462,,,-0.16897,,
1.03003,,,0.07604,,
-0.11178,,,0.0594,,
0.037,,,0.00164,,
0.2757,,,0.26357,,
0.24895,,,0.34983,,
0.27957,,,-0.05141,,
0.94877,,,0.05707,,
0.26487,,,0.12426,,
0.2085,,,0.0628,,
0.87742,,,0.07933,,
0.39949,,,-0.05615,,
0.41527,,,-0.16655,,
-0.13771,,,0.02075,,
0.40785,,,-0.16696,,
0.14609,,,-0.05219,,
0.58569,,,-0.05468,,
0.83307,,,0.08258,,
0.02403,,,0.21352,,
0.25274,,,0.45625,,
0.25255,,,0.46973,,
0.03424,,,0.2156,,
0.36729,,,0.19925,,
-0.05558,,,0.34766,,
0.81908,,,0.34112,,
0.20534,,,0.20372,,
0.39511,,,0.21123,,
0.20324,,,0.20174,,
0.26367,,,0.34926,,
-0.05568,,,0.20074,,
-0.14127,,,0.35253,,
0.80815,,,0.47225,,
0.93419,,,0.35957,,
-0.13974,,,0.35225,,
0.0225,,,0.48479,,
0.03921,,,0.48091,,
0.5503,,,0.50294,,
-0.05811,,,0.39294,,
0.14854,,,0.49245,,
0.66302,,,0.36192,,
0.27586,,,0.47009,,
0.67961,,,0.3995,,
0.20683,,,0.47578,,
0.11518,,,0.35905,,
-0.14012,,,0.24644,,
0.20164,,,0.21333,,
0.85934,,,0.20572,,
0.77107,,,0.20872,,
0.2405,,,0.20909,,
0.41347,,,0.21735,,
0.87444,,,0.20869,,
0.14376,,,0.17412,,
0.13248,,,0.33624,,
1.02656,,,0.48951,,
0.85983,,,0.41577,,
0.42311,,,0.35753,,
0.51491,,,0.35743,,
-0.09073,,,0.34869,,
0.61126,,,0.13167,,
1.17116,,,0.34022,,
0.13866,,,0.23394,,
-0.12268,,,0.1575,,
0.63248,,,0.17866,,
0.4113,,,0.16157,,
1.01621,,,0.16222,,
1.00625,,,0.17359,,
0.25375,,,0.14011,,
0.40586,,,0.24573,,
1.00533,,,0.12459,,
0.1088,,,0.24895,,
0.14119,,,0.2405,,
-0.15248,,,0.42311,,
0.61719,,,0.4113,,
-0.05259,,,0.40586,,
0.42834,,,0.42834,,
-0.11911,,,0.42184,,
0.74332,,,0.41663,,
-0.15457,,,0.36614,,
-0.15312,,,0.35398,,
1.01686,,,0.37889,,
1.07691,,,0.43219,,
0.10938,,,0.44589,,
-0.11929,,,0.52811,,
0.13672,,,0.55378,,
0.48543,,,0.43786,,
0.43021,,,0.451,,
0.38119,,,0.36767,,
-0.04833,,,0.55906,,
-0.08306,,,0.37374,,
0.42184,,,0.54714,,
0.41663,,,0.37384,,
-0.12448,,,0.39083,,
0.54851,,,-0.21209,,
-0.11846,,,-0.21564,,
1.10397,,,-0.22104,,
0.13728,,,-0.21463,,
0.59427,,,0.25003,,
0.65729,,,0.25208,,
-0.09003,,,0.25251,,
0.18164,,,0.27456,,
0.18361,,,0.27273,,
0.54625,,,0.27178,,
0.40982,,,0.26697,,
0.36614,,,0.28509,,
0.19109,,,0.41024,,
0.10115,,,0.20681,,
0.39883,,,0.41555,,
0.51262,,,0.31275,,
-0.02669,,,0.40795,,
0.50794,,,0.317,,
1.03871,,,0.2363,,
0.10147,,,0.25515,,
0.04456,,,0.33283,,
0.97358,,,0.31219,,
0.18109,,,0.49202,,
0.35398,,,0.30608,,
1.07725,,,,,
0.27268,,,,,
0.68485,,,,,
0.0432,,,,,
0.41773,,,,,
0.6635,,,,,
1.01016,,,,,
0.39316,,,,,
0.20052,,,,,
-0.02387,,,,,
0.04411,,,,,
0.68319,,,,,
1.14757,,,,,
0.1869,,,,,
0.26305,,,,,
0.39065,,,,,
0.26804,,,,,
0.16123,,,,,
0.72493,,,,,
0.46201,,,,,
0.09852,,,,,
0.47099,,,,,
0.37703,,,,,
0.18439,,,,,
-0.02713,,,,,
0.16212,,,,,
0.04634,,,,,
0.37512,,,,,
0.37162,,,,,
0.53649,,,,,
0.71299,,,,,
0.54942,,,,,
0.37889,,,,,
0.38773,,,,,
0.43219,,,,,
1.11575,,,,,
0.44589,,,,,
0.55057,,,,,
1.12466,,,,,
0.321,,,,,
0.3009,,,,,
0.41063,,,,,
0.38629,,,,,
1.05069,,,,,
1.23299,,,,,
0.52811,,,,,
0.55378,,,,,
0.36861,,,,,
0.45483,,,,,
0.45402,,,,,
0.43786,,,,,
0.39209,,,,,
0.451,,,,,
0.36767,,,,,
1.10177,,,,,
0.63419,,,,,
1.13793,,,,,
0.5088,,,,,
0.60122,,,,,
0.55906,,,,,
1.12973,,,,,
0.59725,,,,,
1.30579,,,,,
0.39291,,,,,
0.55125,,,,,
0.53794,,,,,
0.37374,,,,,
0.54908,,,,,
0.50688,,,,,
0.74894,,,,,
1.12884,,,,,
0.39153,,,,,
0.36677,,,,,
0.54714,,,,,
1.03998,,,,,
1.11011,,,,,
0.38497,,,,,
0.37384,,,,,
0.39083,,,,,
-0.25712,,,,,
-0.29319,,,,,
-0.24614,,,,,
-0.28842,,,,,
-0.20365,,,,,
-0.29671,,,,,
-0.33529,,,,,
0.80833,,,,,
-0.40173,,,,,
-0.39961,,,,,
0.16547,,,,,
-0.29095,,,,,
0.02881,,,,,
0.04165,,,,,
-0.29392,,,,,
-0.24533,,,,,
-0.3989,,,,,
-0.33364,,,,,
-0.4139,,,,,
0.02678,,,,,
-0.28408,,,,,
-0.25693,,,,,
0.22493,,,,,
-0.25564,,,,,
0.00637,,,,,
-0.29334,,,,,
-0.3955,,,,,
-0.42637,,,,,
0.03684,,,,,
0.22676,,,,,
0.01038,,,,,
-0.2462,,,,,
-0.41594,,,,,
-0.33855,,,,,
-0.43012,,,,,
-0.0895,,,,,
-0.25657,,,,,
-0.24141,,,,,
0.59903,,,,,
-0.34127,,,,,
-0.41239,,,,,
-0.27907,,,,,
-0.3361,,,,,
0.02568,,,,,
-0.33495,,,,,
-0.24663,,,,,
-0.41383,,,,,
0.03091,,,,,
0.04709,,,,,
-0.30319,,,,,
0.58704,,,,,
-0.19197,,,,,
-0.52884,,,,,
0.46577,,,,,
-0.26949,,,,,
-0.12287,,,,,
-0.19587,,,,,
-0.57329,,,,,
-0.30005,,,,,
-0.3015,,,,,
0.03058,,,,,
-0.21209,,,,,
0.24378,,,,,
-0.14295,,,,,
-0.00227,,,,,
0.01398,,,,,
-9.72E-04,,,,,
-0.00258,,,,,
-0.1943,,,,,
-0.19098,,,,,
0.47764,,,,,
0.62579,,,,,
-7.58E-06,,,,,
-0.14628,,,,,
-0.57849,,,,,
-0.26808,,,,,
-0.5758,,,,,
0.5056,,,,,
0.74066,,,,,
-0.21564,,,,,
0.0103,,,,,
0.00513,,,,,
-0.30083,,,,,
-0.11469,,,,,
-0.53203,,,,,
-0.22104,,,,,
0.41413,,,,,
0.0346,,,,,
-0.14337,,,,,
-0.53188,,,,,
-0.26952,,,,,
-0.14382,,,,,
0.03173,,,,,
-0.52557,,,,,
-0.21463,,,,,
-0.2679,,,,,
-0.01974,,,,,
-0.16657,,,,,
0.71905,,,,,
0.58528,,,,,
0.6147,,,,,
-0.33472,,,,,
-0.39855,,,,,
0.53776,,,,,
0.40062,,,,,
-0.36935,,,,,
-0.16222,,,,,
0.25306,,,,,
-0.16636,,,,,
-0.18549,,,,,
0.39319,,,,,
0.49315,,,,,
-0.37006,,,,,
0.6663,,,,,
-0.2293,,,,,
0.32588,,,,,
-0.19584,,,,,
0.40243,,,,,
-0.36818,,,,,
0.98707,,,,,
0.17555,,,,,
-0.0183,,,,,
-0.3712,,,,,
-0.16272,,,,,
-0.3304,,,,,
0.70989,,,,,
0.24536,,,,,
-0.12682,,,,,
-0.19651,,,,,
-0.18377,,,,,
-0.19628,,,,,
0.59577,,,,,
-0.01821,,,,,
0.25332,,,,,
0.16965,,,,,
-0.33442,,,,,
-0.39746,,,,,
-0.18802,,,,,
-0.16506,,,,,
0.85649,,,,,
0.28961,,,,,
0.16453,,,,,
0.93077,,,,,
0.3834,,,,,
-0.32514,,,,,
-0.23313,,,,,
0.87237,,,,,
0.4709,,,,,
0.02357,,,,,
-0.04977,,,,,
-0.15359,,,,,
-0.01739,,,,,
-0.15528,,,,,
-0.15242,,,,,
0.02385,,,,,
0.02865,,,,,
-0.06207,,,,,
-0.01725,,,,,
-0.29813,,,,,
-0.32596,,,,,
-0.32632,,,,,
0.46973,,,,,
-0.07034,,,,,
-0.06448,,,,,
-0.2333,,,,,
-0.07327,,,,,
-0.32563,,,,,
0.75809,,,,,
-0.01595,,,,,
-0.20213,,,,,
0.03375,,,,,
-0.07316,,,,,
-0.01514,,,,,
0.25003,,,,,
0.02947,,,,,
-0.38317,,,,,
-0.19817,,,,,
-0.38192,,,,,
-0.07556,,,,,
0.0302,,,,,
-0.30321,,,,,
0.25208,,,,,
-0.19168,,,,,
-0.3021,,,,,
-0.23255,,,,,
-0.325,,,,,
-0.29784,,,,,
0.25251,,,,,
0.02687,,,,,
0.64733,,,,,
0.41117,,,,,
-0.06462,,,,,
0.69851,,,,,
0.37488,,,,,
0.48419,,,,,
0.35654,,,,,
0.2739,,,,,
0.2425,,,,,
0.06252,,,,,
1.0248,,,,,
0.23932,,,,,
0.06433,,,,,
0.08242,,,,,
0.27456,,,,,
0.35581,,,,,
0.08065,,,,,
0.96117,,,,,
0.27273,,,,,
0.27178,,,,,
0.37876,,,,,
0.58713,,,,,
0.31447,,,,,
0.15869,,,,,
0.48813,,,,,
0.41984,,,,,
0.26697,,,,,
0.47143,,,,,
0.60021,,,,,
0.3515,,,,,
0.0808,,,,,
0.92968,,,,,
1.08867,,,,,
0.72987,,,,,
0.66602,,,,,
0.45696,,,,,
0.37525,,,,,
0.37437,,,,,
0.23966,,,,,
0.44958,,,,,
0.37198,,,,,
0.60518,,,,,
0.59658,,,,,
0.0656,,,,,
0.08367,,,,,
0.24575,,,,,
0.79084,,,,,
0.62875,,,,,
0.55752,,,,,
0.28509,,,,,
0.37822,,,,,
0.64131,,,,,
0.18624,,,,,
0.86177,,,,,
0.82272,,,,,
-0.35894,,,,,
0.18495,,,,,
-0.20279,,,,,
0.86616,,,,,
1.06002,,,,,
-0.05942,,,,,
-0.1097,,,,,
-0.12425,,,,,
0.39049,,,,,
-0.3561,,,,,
0.15682,,,,,
-0.05403,,,,,
0.48592,,,,,
0.99836,,,,,
-0.05426,,,,,
0.18563,,,,,
-0.12316,,,,,
0.15471,,,,,
0.03641,,,,,
0.38869,,,,,
0.85617,,,,,
-0.1216,,,,,
-0.36111,,,,,
-0.12342,,,,,
0.85384,,,,,
0.8562,,,,,
0.18516,,,,,
0.18533,,,,,
-0.05467,,,,,
-0.05696,,,,,
0.15706,,,,,
-0.05605,,,,,
-0.36152,,,,,
0.91325,,,,,
0.55647,,,,,
0.35251,,,,,
-0.35936,,,,,
-0.36242,,,,,
-0.20128,,,,,
0.53227,,,,,
-0.20826,,,,,
-0.12401,,,,,
0.81787,,,,,
0.15617,,,,,
0.31303,,,,,
-0.16897,,,,,
0.26435,,,,,
0.07604,,,,,
0.02631,,,,,
0.0594,,,,,
0.00547,,,,,
0.41024,,,,,
0.00164,,,,,
0.26357,,,,,
0.20681,,,,,
0.41555,,,,,
0.72896,,,,,
0.34983,,,,,
0.22075,,,,,
-0.05141,,,,,
0.05707,,,,,
0.12426,,,,,
0.29028,,,,,
0.0628,,,,,
0.07933,,,,,
0.486,,,,,
0.4834,,,,,
0.13131,,,,,
0.03462,,,,,
-0.05615,,,,,
0.23198,,,,,
0.31275,,,,,
0.40795,,,,,
0.317,,,,,
0.29271,,,,,
-0.16655,,,,,
0.14473,,,,,
0.02075,,,,,
-0.16696,,,,,
0.2363,,,,,
0.25515,,,,,
0.00801,,,,,
0.33283,,,,,
-0.05219,,,,,
-0.08571,,,,,
0.07089,,,,,
1.05484,,,,,
0.00539,,,,,
-0.05468,,,,,
0.16984,,,,,
0.08258,,,,,
0.22083,,,,,
0.25289,,,,,
0.70529,,,,,
0.2769,,,,,
0.31219,,,,,
0.27681,,,,,
0.21352,,,,,
1.07883,,,,,
0.50928,,,,,
0.45625,,,,,
0.62238,,,,,
0.46973,,,,,
1.08523,,,,,
0.77383,,,,,
0.47296,,,,,
0.2156,,,,,
0.4858,,,,,
0.49583,,,,,
0.22808,,,,,
0.19925,,,,,
0.46658,,,,,
0.49202,,,,,
0.27589,,,,,
0.48519,,,,,
0.34766,,,,,
0.87674,,,,,
0.34112,,,,,
0.30608,,,,,
0.47294,,,,,
1.22786,,,,,
0.58062,,,,,
0.21775,,,,,
0.20372,,,,,
0.65056,,,,,
0.21123,,,,,
0.20174,,,,,
1.14104,,,,,
0.72977,,,,,
0.58577,,,,,
0.34926,,,,,
0.21912,,,,,
0.20074,,,,,
0.4356,,,,,
1.02617,,,,,
0.35253,,,,,
0.47225,,,,,
1.00541,,,,,
1.18933,,,,,
