?G(OH),?G(OH-Ni),?G(OH-Co),?G(OH-Fe),?G(OH-Pd),?G(OH-Pt)
-0.38863,0.11944,-0.01613,0.18943,0.01398,0.62579
-0.39229,0.25106,-0.07254,0.23606,-0.00258,0.5056
-0.50409,0.25057,-0.26251,0.45411,0.62579,0.41413
-0.42233,0.14206,-0.20938,-0.21412,0.74066,0.6663
-0.39176,0.13708,-0.19801,0.26789,0.0103,0.98707
-0.50289,0.23804,-0.26078,-0.23581,0.00513,0.70989
-0.2005,0.14697,-0.20737,-0.09332,0.0346,0.87237
-0.42499,0.12387,0.11452,-0.11197,0.03173,0.75809
-0.4171,0.11952,-0.26265,-0.11781,0.6147,0.64733
0.30865,0.21943,-0.07497,-0.10983,0.98707,0.48419
-0.41865,0.09859,0.16351,-0.26336,0.24536,1.0248
-0.42165,0.09838,0.11788,-0.11178,0.59577,0.96117
-0.42942,-0.15268,-0.01459,0.26487,0.25332,0.92968
-0.01023,-0.15271,0.16863,0.41527,0.85649,0.60518
-0.41584,-0.15566,-0.21023,0.40785,0.28961,0.79084
0.13708,0.36184,0.1574,0.36729,0.3834,0.99836
-0.00999,0.00347,-0.07349,0.11518,0.87237,0.55647
0.23804,0.22023,0.1567,0.41347,0.4709,0.53227
-0.00846,0.22536,-0.20167,0.13866,0.75809,0.81787
-0.26323,0.08295,0.11944,0.63248,0.2425,0.72896
-0.20853,0.16754,-0.26122,0.25375,0.96117,0.486
0.30246,0.22183,0.15748,-0.05259,0.31447,0.4834
-0.43353,0.37057,-0.25555,0.43021,0.47143,1.05484
0.06318,-0.00803,-0.42233,0.38119,0.60021,0.70529
-0.50344,0.07621,-0.42499,-0.04833,0.92968,1.07883
0.14697,0.01997,-0.42165,0.59427,0.66602,0.50928
-0.22308,0.00609,-0.01023,0.1869,0.45696,1.08523
-0.03137,0.07209,-0.00999,0.09852,0.23966,0.47296
-0.02076,-0.0067,0.03612,0.18439,0.44958,0.4858
-0.27748,0.00855,-0.42125,0.38773,0.59658,0.48519
0.03612,0.00485,0.09859,0.321,0.79084,0.47294
0.12387,0.22222,0.09838,0.3009,0.64131,1.22786
-0.39169,-0.00567,-0.15268,0.38629,0.82272,0.72977
-0.41888,0.09851,-0.15271,0.36861,0.99836,1.02617
-0.12205,0.07735,-0.15566,0.5088,0.85617,1.00541
0.11952,-0.15414,0.00347,0.50688,0.35251,1.18933
-0.11949,0.35858,0.08295,0.36677,0.81787,1.19795
0.21852,-0.06946,0.16754,0.38497,0.22075,0.32433
-0.42125,0.04391,-0.00803,0.22493,1.05484,0.79776
-0.27444,0.12867,0.07621,0.00637,0.25289,0.1574
0.01809,0.12989,0.00609,0.22676,0.2769,0.25106
0.21943,0.38429,0.07209,0.01038,0.27681,0.25057
0.17472,0.12587,-0.0067,0.02568,1.07883,0.15748
0.16132,0.04123,0.00855,-0.52884,1.08523,0.36184
0.09859,0.04005,0.00485,-0.12287,0.27589,0.37057
0.09838,-0.06973,0.22222,-0.14295,0.87674,0.35858
-0.15268,0.38608,-0.00567,-0.53203,0.21775,0.38429
-0.15107,-0.0676,0.09851,-0.53188,0.65056,0.49292
0.36126,0.04405,0.07735,-0.52557,1.14104,0.38608
-0.15271,-0.00912,-0.15414,0.24536,1.00541,0.50403
-0.15566,-0.14197,-0.06946,0.25332,1.19795,0.33462
0.36184,0.17638,0.04391,-0.18802,0.08067,0.32248
-0.15088,-0.17529,-0.11167,0.02865,0.11452,1.08716
0.19572,-0.25776,-0.11371,-0.06207,0.16351,0.56917
0.16202,-0.17156,0.06374,-0.07034,0.11788,0.54545
0.00347,-0.0098,0.04123,0.02947,0.16863,0.54864
0.22023,-0.17268,0.04005,-0.07556,0.79776,0.67396
0.22536,-0.13774,0.05619,-0.29784,0.07836,0.54789
0.08295,-0.25946,0.30355,0.02687,0.1567,0.3543
-0.14976,-0.17523,-0.15264,-0.06462,0.08066,0.36032
0.16754,-0.17144,0.05296,0.48419,0.11944,0.82636
0.22183,-0.26328,-0.06973,0.2739,0.14206,0.86053
0.24644,0.33462,-0.0676,0.2425,-0.12194,0.46894
0.83935,-0.17494,0.04405,0.23932,-0.12357,0.73686
0.16147,0.18553,0.05555,0.31447,0.25945,0.39311
0.24794,-0.07912,-0.11345,0.23966,-0.01023,0.26497
0.37057,-0.17642,0.03234,-0.05942,0.13708,0.26335
-0.00803,0.32248,-0.11208,0.03641,-0.00999,0.45325
0.07621,-0.2212,-0.15125,-0.20826,0.23804,0.45541
0.44603,-0.03554,0.30808,0.26435,0.14697,0.90104
0.01997,-0.16105,0.30447,0.02631,0.03612,0.944
0.00609,-0.15112,-0.11056,0.00547,0.12387,0.36641
0.07209,-0.21911,-0.00912,0.22075,-0.12205,0.58424
-0.14968,-0.03483,-0.14197,0.29028,0.11952,0.46606
-0.0067,0.63061,0.17638,0.486,0.21943,0.45473
0.00855,-0.01849,-0.17529,0.4834,0.09859,0.56267
0.00485,-0.01686,-0.01521,0.13131,0.09838,0.49961
-0.1522,-0.15707,-0.25776,0.03462,-0.15107,0.45714
0.17321,-0.22064,-0.20838,0.23198,-0.15088,0.5304
0.22222,-0.15394,-0.17156,0.14473,0.00347,0.17171
-0.00567,-0.01901,-0.02159,0.00801,0.22023,0.45594
-0.14897,-0.21844,-0.0098,-0.08571,0.22536,0.49389
0.09851,-0.1574,-0.17268,0.07089,0.08295,0.49462
0.02254,-0.14997,-0.13774,0.00539,-0.14976,0.39949
0.07735,-0.15345,-0.25946,0.16984,0.16754,0.25274
-0.15414,-0.22045,-0.02169,0.25289,0.22183,0.25255
0.35858,-0.03489,-0.17523,0.50928,0.07621,0.39511
0.0546,0.43794,-0.17144,0.47296,0.01997,0.77107
-0.06946,0.54864,-0.23868,0.4858,-0.14968,0.61126
0.04391,0.43575,-0.20786,0.48519,0.00855,0.54851
0.98542,0.67396,-0.26328,0.47294,0.00485,1.01016
0.24081,0.44183,0.33462,-0.01613,-0.1522,0.47099
0.2226,0.0354,-0.17494,-0.57936,0.22222,0.53649
0.21333,0.03336,-0.02225,0.08067,-0.14897,0.71299
-0.11167,0.54789,0.18553,-0.58162,0.09851,0.16547
0.98437,0.09678,-0.07912,-0.26251,0.07735,0.59903
-0.11371,0.03637,-0.24226,-0.58153,0.06374,0.47764
0.06374,0.11949,-0.17642,-0.20938,0.05619,0.71905
0.02813,0.82636,0.32248,-0.19801,0.30355,0.53776
0.48423,0.12045,-0.2212,-0.26078,0.49292,0.93077
0.20572,0.46894,-0.15112,-0.20737,0.05296,0.46973
0.12867,0.73686,-0.21911,-0.58273,0.05555,0.37876
0.20872,-0.20426,-0.30455,-0.26265,0.03234,0.41984
0.12989,-0.02072,0.56917,0.16351,0.50403,1.08867
0.4298,-0.0229,-0.01849,-0.01459,0.30447,0.37437
0.38429,-0.21886,-0.01686,0.32433,0.17638,0.62875
0.12587,-0.20153,-0.1037,0.16863,0.18553,0.45625
0.20658,0.13288,-0.10326,-0.58363,1.08716,0.46973
0.04123,-0.27508,-0.22064,-0.21023,0.56917,0.77383
0.03375,0.39311,-0.15394,-0.58082,0.63061,0.47225
0.20909,-0.26909,-0.10355,0.1574,0.54545,1.16481
0.21735,-0.17776,0.54545,0.07836,0.43794,1.08128
0.04005,-0.21374,-0.01901,0.1567,0.22094,1.0905
0.05619,-0.02118,-0.21844,-0.20167,0.43575,1.20103
0.30355,-0.2602,-0.14997,0.08066,0.67396,1.15034
-0.15264,-0.05995,-0.10716,0.25106,0.44183,1.07401
0.91212,-0.17787,-0.10403,-0.58263,0.22298,1.09095
