?G(OOH),?G(OOH-Ru),?G(OOH-Rh),?G(OOH-Pd),?G(OOH-Ir),?G(OOH-Pt)
2.67703,1.27634,1.94415,0.77183,1.83272,4.06487
2.59449,1.67026,1.55964,1.58074,3.36145,3.79595
2.40699,0.80996,2.09794,0.89375,2.13736,3.80539
2.00769,0.46812,1.30014,0.34626,3.64738,3.70635
1.69859,1.36324,0.72423,0.9402,1.98779,4.16954
2.87868,0.67484,1.03206,1.71986,1.40175,3.97177
2.50616,0.7281,0.84772,0.36512,3.78506,3.73191
2.0041,0.97499,0.89476,1.11187,1.95628,4.13328
2.01832,0.35656,0.82219,0.6352,1.95145,4.01862
2.28398,0.66301,1.07723,2.11805,1.48944,3.59862
1.90138,0.46741,1.53808,1.13746,1.47608,4.14438
2.46131,0.5214,1.21312,0.73098,1.445,3.95636
1.86585,1.02136,1.53035,1.23764,3.55695,4.14766
2.97573,0.99512,1.01718,1.4316,3.6072,3.84864
2.4046,0.94525,0.89802,1.42773,2.18923,3.532
2.48056,0.77905,1.20244,0.54086,1.37483,3.88779
1.95849,0.88377,1.51913,0.60656,2.03681,3.88679
2.44485,0.29284,0.64255,1.05238,3.49964,3.89055
3.70635,0.7758,0.98067,1.32089,3.63808,4.26795
2.35638,0.8136,1.53348,1.47496,1.52793,3.53139
2.67542,0.34561,1.25247,0.89016,1.76134,4.14632
2.60927,0.76069,1.31352,0.82017,1.81812,4.06567
2.08355,1.18882,0.9915,2.10606,3.51215,4.04563
4.22407,0.92576,0.60931,1.06694,2.72151,3.52117
4.17162,0.62543,0.51947,0.67627,1.24168,3.95377
3.58039,0.89775,0.84413,1.96655,3.65284,3.99183
0.99774,0.50751,1.1783,1.10689,3.40824,3.59543
0.82487,0.57101,0.32357,3.50759,3.57688,4.02818
1.78705,0.67032,1.55498,3.72509,3.52943,3.91102
1.4271,0.76383,0.51408,4.1359,1.85956,4.12055
1.05335,0.35626,2.44463,4.08501,3.55152,3.69854
4.16954,0.31672,0.27876,3.98694,1.27351,4.24681
1.83272,0.89088,1.77957,4.22407,2.64649,4.21946
3.36145,0.57224,1.03285,4.17162,1.67427,4.10743
1.21719,0.96574,0.17585,4.19354,1.45319,4.03105
4.19354,0.94722,1.27634,4.20422,3.725,4.33995
4.20422,1.31732,0.80996,3.62876,1.35809,3.82707
1.52572,0.77183,1.92383,4.20755,3.57781,4.11932
3.92543,0.72455,1.52275,4.0336,1.07452,4.16508
1.96375,1.58074,2.1064,4.18914,,4.04179
2.12238,0.89375,0.46812,4.07693,,4.18731
1.91496,0.34626,0.67484,4.00868,,4.20204
1.31434,1.04482,0.7281,3.66234,,4.30366
1.14349,0.9402,0.93791,4.13918,,4.11812
1.69605,0.75771,0.66301,3.57374,,3.91843
1.00054,1.71986,0.46741,4.22,,3.91974
2.19811,0.36512,1.56355,4.10784,,4.20616
0.87351,0.65677,0.5214,3.43119,,3.53527
0.79433,1.71341,1.65698,4.00768,,4.10019
1.18093,1.01739,1.02136,4.09136,,3.66907
1.45494,1.11187,0.77905,4.25061,,3.83976
1.62887,0.6352,0.7758,4.38936,,4.32794
1.76145,0.84033,0.8136,4.26001,,3.76183
1.8845,1.13746,1.62799,4.15132,,3.95366
1.40682,1.64404,0.76069,4.2066,,3.57838
1.78389,0.35818,0.62543,4.37199,,3.68747
1.38754,0.73098,0.89775,4.28041,,3.7841
1.42569,0.39405,1.6579,3.65279,,3.61038
1.93881,1.25242,0.50751,4.19569,,4.06402
2.16927,0.66001,0.57101,3.76188,,3.98349
1.94415,0.55408,0.67032,4.24513,,4.0835
1.53566,0.92248,1.16448,4.35394,,3.49725
1.05106,0.29591,0.76383,3.9003,,
1.55964,0.60042,0.31672,3.41202,,
3.95507,0.83225,0.89088,4.17556,,
0.80997,1.23764,0.57224,3.73116,,
0.88023,0.91391,1.31732,3.76998,,
1.05551,0.89367,0.77183,4.12633,,
2.09794,0.54086,0.72455,4.18804,,
3.62876,0.3578,1.58074,4.14424,,
2.28862,1.12685,0.89375,3.57179,,
1.30014,0.64848,1.04482,3.97397,,
2.13736,0.33065,0.75771,4.23862,,
3.97177,0.7968,1.71986,4.34388,,
0.72423,0.55893,0.36512,3.86171,,
3.46689,0.68572,0.65677,3.66541,,
1.03206,0.48618,0.6352,4.20115,,
3.45631,0.64624,0.84033,3.59478,,
3.73191,0.89016,1.08191,,,
3.42433,0.82017,2.11805,,,
1.32134,1.13303,1.53246,,,
4.13328,1.06694,1.62315,,,
4.01862,0.67627,1.64404,,,
3.64738,1.10689,0.35818,,,
4.20755,1.02893,1.94929,,,
0.84772,3.33293,0.73098,,,
0.89476,1.31525,0.39405,,,
1.37095,1.20992,1.25242,,,
4.29025,3.35659,0.66001,,,
0.82219,3.36814,0.55408,,,
1.07723,1.61728,0.92248,,,
1.53808,1.69859,0.29591,,,
1.31191,1.05335,0.60042,,,
1.21312,1.14349,0.82609,,,
1.53035,1.05106,0.83225,,,
1.01718,1.05551,1.4316,,,
0.89802,3.46689,1.42773,,,
1.02385,3.45631,0.91391,,,
1.20244,3.42433,1.5642,,,
1.51913,1.05732,1.07526,,,
0.64255,0.9222,0.54086,,,
1.65034,0.92949,0.34747,,,
1.06505,1.05788,0.80249,,,
0.98067,1.05572,0.3578,,,
1.53348,3.29059,0.60656,,,
1.55347,0.82392,1.12685,,,
1.25247,0.89352,1.05238,,,
2.03908,1.52391,1.10392,,,
1.29688,1.7085,1.32089,,,
1.31352,1.00049,0.64848,,,
1.56788,1.39383,0.33065,,,
0.9915,1.21157,0.7968,,,
1.20655,1.16808,1.28397,,,
1.02806,3.43712,1.47496,,,
1.53265,0.77453,1.19206,,,
1.53557,3.2727,1.1099,,,
4.0336,0.99784,0.55893,,,
4.18914,1.05645,0.68572,,,
3.62594,3.30161,0.64624,,,
1.98779,1.27722,1.39105,,,
3.59862,1.19022,0.89016,,,
0.60931,1.95907,1.01086,,,
1.05732,1.86534,0.82017,,,
0.51947,3.33934,1.54742,,,
0.9222,1.45555,1.01343,,,
4.14438,0.83541,1.13303,,,
0.92949,3.3752,1.06694,,,
0.84413,1.63996,3.3441,,,
3.95636,1.39877,3.70362,,,
4.14766,0.99116,3.81913,,,
1.40175,1.63495,3.81065,,,
4.07693,1.80667,3.74639,,,
0.56648,2.06336,3.58039,,,
1.79663,1.34324,2.28862,,,
1.1783,3.56785,3.62594,,,
1.71715,3.45177,3.6821,,,
0.48625,1.64053,3.37335,,,
0.32357,1.58924,3.62756,,,
1.05788,3.47999,2.47038,,,
1.55498,1.43061,3.66902,,,
0.51408,1.41943,3.70193,,,
2.44463,0.82936,3.62564,,,
0.27876,0.96978,3.40193,,,
0.64988,3.66762,3.78646,,,
1.77957,1.39557,3.88417,,,
4.00868,0.90743,3.84627,,,
1.03285,1.31345,3.59334,,,
0.17585,1.8344,3.6738,,,
1.27634,3.41817,3.62164,,,
2.43902,3.30101,3.8234,,,
1.67026,0.82572,3.72322,,,
0.80996,3.54712,3.85718,,,
1.92383,0.91376,3.79926,,,
1.73841,1.70282,3.637,,,
1.84314,1.71196,3.72453,,,
3.84864,1.36947,3.90792,,,
1.52275,1.35276,3.71112,,,
1.3033,3.38188,3.60261,,,
1.30117,3.29642,3.87832,,,
1.05572,1.2557,3.77525,,,
2.1064,1.66916,3.71585,,,
0.46812,3.5248,3.95426,,,
1.36324,1.22685,3.58702,,,
0.67484,3.36273,3.62114,,,
0.7281,1.46552,,,,
3.29059,1.56547,,,,
0.93791,1.95788,,,,
3.532,1.08105,,,,
3.6821,1.62785,,,,
0.97499,1.91137,,,,
0.82392,1.56399,,,,
0.89352,3.29347,,,,
3.66234,0.79439,,,,
4.13918,,,,,
0.35656,,,,,
0.66301,,,,,
0.46741,,,,,
1.56355,,,,,
0.5022,,,,,
0.5214,,,,,
1.65698,,,,,
1.02136,,,,,
0.99512,,,,,
0.94525,,,,,
0.77905,,,,,
0.88377,,,,,
0.29284,,,,,
0.7758,,,,,
0.8136,,,,,
1.62799,,,,,
1.64325,,,,,
0.34561,,,,,
0.76069,,,,,
1.18882,,,,,
3.88779,,,,,
0.92576,,,,,
0.62543,,,,,
1.52391,,,,,
0.89775,,,,,
1.6579,,,,,
0.88812,,,,,
0.50751,,,,,
0.53163,,,,,
0.57101,,,,,
0.67032,,,,,
1.16448,,,,,
0.76383,,,,,
0.35626,,,,,
0.31672,,,,,
0.89088,,,,,
0.57224,,,,,
1.7085,,,,,
0.96574,,,,,
0.94722,,,,,
1.31732,,,,,
0.77183,,,,,
0.72455,,,,,
3.37335,,,,,
3.94332,,,,,
1.00049,,,,,
1.58074,,,,,
0.89375,,,,,
0.34626,,,,,
1.04482,,,,,
3.88679,,,,,
0.9402,,,,,
0.75771,,,,,
1.71986,,,,,
1.12912,,,,,
0.36512,,,,,
0.65677,,,,,
1.39383,,,,,
3.89055,,,,,
1.57058,,,,,
1.71341,,,,,
1.01739,,,,,
1.11187,,,,,
0.6352,,,,,
0.84033,,,,,
3.57374,,,,,
3.62756,,,,,
2.47038,,,,,
3.78506,,,,,
4.26795,,,,,
1.21157,,,,,
3.66902,,,,,
1.16808,,,,,
1.08191,,,,,
3.43712,,,,,
4.22,,,,,
3.53139,,,,,
4.14632,,,,,
